Baden-Württemberg;11339260
Bayern;13435062
Berlin;3782202
Brandenburg;2581667
Bremen;691703
Hamburg;1910160
Hessen;6420729
Mecklenburg-Vorpommern;1629464
Niedersachsen;8161981
Nordrhein-Westfalen;18190422
Rheinland-Pfalz;4174311
Saarland;994424
Sachsen;4089467
Sachsen-Anhalt;2180448
Schleswig-Holstein;2965691
Thüringen;2122335
