DATE,LEBENSALTER DER HALTERINNEN UND HALTER,BIS 1399,1400 BIS 1999,2000 UND MEHR,UNBEKANNT,INSGESAMT,DARUNTER HALTERINNEN
202308,75 - 79 JAHRE,1043.0,1161.0,179.0,481.0,2864.0,665.0
202308,80 UND MEHR JAHRE,832.0,802.0,111.0,268.0,2013.0,420.0
202308,JURISTISCHE PERSONEN,29286.0,72742.0,12704.0,59643.0,174375.0,
202309,BIS 17 JAHRE,14.0,23.0,9.0,4.0,50.0,30.0
202309,18 - 20 JAHRE,135.0,120.0,19.0,29.0,303.0,123.0
202309,21 - 24 JAHRE,494.0,571.0,101.0,189.0,1355.0,526.0
202309,25 - 29 JAHRE,927.0,1428.0,282.0,616.0,3253.0,1189.0
202309,30 - 34 JAHRE,1315.0,2194.0,502.0,1235.0,5246.0,1673.0
202309,35 - 39 JAHRE,1586.0,2531.0,696.0,1947.0,6760.0,2051.0
202309,40 - 44 JAHRE,1748.0,2795.0,885.0,2210.0,7638.0,2357.0
202309,45 - 49 JAHRE,1998.0,3671.0,957.0,2068.0,8694.0,2664.0
202309,50 - 54 JAHRE,2729.0,4439.0,1340.0,2385.0,10893.0,3422.0
202309,55 - 59 JAHRE,3272.0,5322.0,1683.0,2615.0,12892.0,4013.0
202309,60 - 64 JAHRE,2959.0,4693.0,1334.0,1916.0,10902.0,3118.0
202309,65 - 69 JAHRE,1974.0,3033.0,822.0,1404.0,7233.0,2079.0
202309,70 - 74 JAHRE,1572.0,1996.0,383.0,804.0,4755.0,1283.0
202309,75 - 79 JAHRE,865.0,1078.0,186.0,349.0,2478.0,594.0
202309,80 UND MEHR JAHRE,739.0,781.0,101.0,260.0,1881.0,396.0
202309,JURISTISCHE PERSONEN,34666.0,77801.0,13829.0,13686.0,139982.0,
202310,BIS 17 JAHRE,9.0,26.0,5.0,3.0,43.0,25.0
202310,18 - 20 JAHRE,150.0,118.0,22.0,42.0,332.0,127.0
202310,21 - 24 JAHRE,493.0,577.0,97.0,243.0,1410.0,565.0
202310,25 - 29 JAHRE,1043.0,1331.0,291.0,770.0,3435.0,1259.0
202310,30 - 34 JAHRE,1407.0,2066.0,546.0,1664.0,5683.0,1815.0
202310,35 - 39 JAHRE,1686.0,2351.0,694.0,2347.0,7078.0,2041.0
202310,40 - 44 JAHRE,1764.0,2764.0,836.0,2711.0,8075.0,2434.0
202310,45 - 49 JAHRE,2079.0,3163.0,963.0,2542.0,8747.0,2752.0
202310,50 - 54 JAHRE,3011.0,4177.0,1272.0,2962.0,11422.0,3640.0
202310,55 - 59 JAHRE,3514.0,5039.0,1748.0,3245.0,13546.0,4106.0
202310,60 - 64 JAHRE,3168.0,4567.0,1362.0,2444.0,11541.0,3240.0
202310,65 - 69 JAHRE,2310.0,2976.0,740.0,1590.0,7616.0,2195.0
202310,70 - 74 JAHRE,1695.0,1991.0,409.0,967.0,5062.0,1341.0
202310,75 - 79 JAHRE,996.0,1036.0,175.0,408.0,2615.0,643.0
202310,80 UND MEHR JAHRE,859.0,775.0,115.0,253.0,2002.0,409.0
202310,JURISTISCHE PERSONEN,33186.0,68757.0,12999.0,15113.0,130055.0,
202311,BIS 17 JAHRE,16.0,23.0,2.0,,41.0,13.0
202311,18 - 20 JAHRE,147.0,136.0,8.0,47.0,338.0,122.0
202311,21 - 24 JAHRE,575.0,655.0,90.0,291.0,1611.0,602.0
202311,25 - 29 JAHRE,1242.0,1631.0,274.0,929.0,4076.0,1476.0
202311,30 - 34 JAHRE,1669.0,2412.0,495.0,1993.0,6569.0,2040.0
202311,35 - 39 JAHRE,1839.0,2742.0,694.0,3012.0,8287.0,2393.0
202311,40 - 44 JAHRE,2032.0,3065.0,829.0,3301.0,9227.0,2871.0
202311,45 - 49 JAHRE,2175.0,3628.0,944.0,3009.0,9756.0,2974.0
202311,50 - 54 JAHRE,2946.0,4579.0,1254.0,3494.0,12273.0,3775.0
202311,55 - 59 JAHRE,3661.0,5629.0,1514.0,3768.0,14572.0,4250.0
202311,60 - 64 JAHRE,3146.0,4731.0,1376.0,2830.0,12083.0,3432.0
202311,65 - 69 JAHRE,2261.0,3109.0,780.0,1892.0,8042.0,2228.0
202311,70 - 74 JAHRE,1740.0,2089.0,411.0,1074.0,5314.0,1450.0
202311,75 - 79 JAHRE,993.0,1164.0,157.0,483.0,2797.0,693.0
202311,80 UND MEHR JAHRE,880.0,914.0,106.0,345.0,2245.0,453.0
202311,JURISTISCHE PERSONEN,38675.0,78301.0,12807.0,18439.0,148222.0,
202312,BIS 17 JAHRE,14.0,23.0,4.0,3.0,44.0,20.0
202312,18 - 20 JAHRE,149.0,140.0,15.0,70.0,374.0,142.0
202312,21 - 24 JAHRE,560.0,730.0,86.0,326.0,1702.0,618.0
202312,25 - 29 JAHRE,1209.0,1677.0,286.0,1193.0,4365.0,1504.0
202312,30 - 34 JAHRE,1661.0,2508.0,470.0,2385.0,7024.0,2115.0
202312,35 - 39 JAHRE,1828.0,2796.0,629.0,3520.0,8773.0,2510.0
202312,40 - 44 JAHRE,2141.0,3134.0,764.0,3962.0,10001.0,3100.0
202312,45 - 49 JAHRE,2195.0,3826.0,896.0,3788.0,10705.0,3035.0
202312,50 - 54 JAHRE,2795.0,4480.0,1250.0,4393.0,12918.0,3970.0
202312,55 - 59 JAHRE,3459.0,5573.0,1481.0,4801.0,15314.0,4493.0
202312,60 - 64 JAHRE,3110.0,4463.0,1199.0,3428.0,12200.0,3415.0
202312,65 - 69 JAHRE,1985.0,2824.0,678.0,2125.0,7612.0,2108.0
202312,70 - 74 JAHRE,1535.0,1853.0,340.0,1283.0,5011.0,1360.0
202312,75 - 79 JAHRE,856.0,1024.0,149.0,570.0,2599.0,621.0
