DATE,SEGMENT,MODELLREIHE,INSGESAMT,CO2-EMISSION IN G/KM,BENZIN,CO2-EMISSION IN G/KM1,KRAFTSTOFFVERBRAUCH IN L/100 KM,DIESEL,CO2-EMISSION IN G/KM2,KRAFTSTOFFVERBRAUCH IN L/100 KM1,ERDGAS (CNG) (EINSCHL. BIVALENT),FLUSSIGGAS (LPG) (EINSCHL. BIVALENT),HYBRID,DAR. PLUG-IN,ELEKTRO (BEV)
202205,KOMPAKTKLASSE,SUBARU IMPREZA,5,174.8,3,175.3,7.6,,,,,,2,,
202205,KOMPAKTKLASSE,SUZUKI SWACE,35,103,,,,,,,,,35,,
202205,KOMPAKTKLASSE,TOYOTA COROLLA,1066,115.9,24,152.3,6.6,,,,,,1042,,
202205,KOMPAKTKLASSE,TOYOTA PRIUS,18,28,,,,,,,,,18,18,
202205,KOMPAKTKLASSE,VW GOLF,6197,132.6,2902,151.3,6.5,2087,123.9,4.7,9,,1199,294,
202205,KOMPAKTKLASSE,VW ID.3,1356,,,,,,,,,,,,1356
202205,MITTELKLASSE,ALFA ROMEO GIULIA,92,193.1,82,199.7,8.6,10,139.3,5.3,,,,,
202205,MITTELKLASSE,"AUDI A4, S4, RS4",1483,146.7,30,226.4,9.8,,,,1,,1452,,
202205,MITTELKLASSE,"AUDI A5, S5, RS5",640,170.1,124,211.5,9.1,,,,2,,514,,
202205,MITTELKLASSE,BMW 3ER,2859,108.8,815,163.6,7,40,132.5,5,,,2004,1031,
202205,MITTELKLASSE,BMW 4ER,1248,132.8,554,176,7.6,,,,,,417,,277
202205,MITTELKLASSE,CITROEN C5,372,71.6,33,145.1,6.3,65,137,5.2,,,274,274,
202205,MITTELKLASSE,FORD MONDEO,408,146.9,,,,387,147.7,5.6,,,21,,
202205,MITTELKLASSE,JAGUAR XE,9,197.1,9,197.1,8.5,,,,,,,,
202205,MITTELKLASSE,KIA STINGER,28,247,28,247,10.6,,,,,,,,
202205,MITTELKLASSE,MAZDA 6,61,164.7,61,164.7,7.1,,,,,,,,
202205,MITTELKLASSE,MERCEDES C-KLASSE,2605,132.2,110,215.4,9.3,42,145.2,5.5,,,2453,249,
202205,MITTELKLASSE,MERCEDES CLA-KLASSE,794,124.8,517,152.1,6.6,118,136.8,5.2,,,159,159,
202205,MITTELKLASSE,MG ROEWE 5,54,,,,,,,,,,,,54
202205,MITTELKLASSE,OPEL INSIGNIA,746,147.7,210,180.1,7.8,536,135.3,5.1,,,,,
202205,MITTELKLASSE,PEUGEOT 508,61,53.2,2,141.5,6.1,8,125.1,4.7,,,51,51,
202205,MITTELKLASSE,POLESTAR 2,454,,,,,,,,,,,,454
202205,MITTELKLASSE,RENAULT TALISMAN,99,151.1,40,145,6.3,59,155.4,5.9,,,,,
202205,MITTELKLASSE,SKODA SUPERB,1194,117.1,141,155.7,6.7,768,142.8,5.4,,,285,285,
202205,MITTELKLASSE,TESLA MODEL 3,181,,,,,,,,,,,,181
202205,MITTELKLASSE,VOLVO 60,169,82.4,,,,1,158,6,,,168,89,
202205,MITTELKLASSE,VW ARTEON,947,145.3,232,182.4,7.9,640,145.3,5.5,,,75,75,
202205,MITTELKLASSE,VW PASSAT,3944,126.5,333,150.9,6.5,3271,134.3,5.1,,,340,340,
202205,OBERE MITTELKLASSE,"AUDI A6, S6, RS6",1278,152.9,9,,,,,,,,1269,226,
202205,OBERE MITTELKLASSE,BMW 5ER,1289,123.5,43,254.2,11,,,,,,1246,351,
202205,OBERE MITTELKLASSE,DS DS9,23,61.3,5,156.2,6.7,,,,,,18,18,
202205,OBERE MITTELKLASSE,JAGUAR XF,5,175,2,200,8.6,,,,,,3,,
202205,OBERE MITTELKLASSE,LEXUS ES,15,124.2,,,,,,,,,15,,
202205,OBERE MITTELKLASSE,MERCEDES E-KLASSE,2265,111.1,28,280.1,12.1,493,158.4,6,,,1274,255,470
202205,OBERE MITTELKLASSE,SUBARU OUTBACK,49,193,49,193,8.3,,,,,,,,
202205,OBERE MITTELKLASSE,TOYOTA CAMRY,22,122.3,,,,,,,,,22,,
202205,OBERE MITTELKLASSE,TOYOTA MIRAI,11,,,,,,,,,,,,
202205,OBERE MITTELKLASSE,VOLVO 90,73,99.6,,,,,,,,,73,32,
202205,OBERKLASSE,"AUDI A7, S7, RS7",93,194.7,1,,,1,,,,,91,6,
202205,OBERKLASSE,"AUDI A8, S8",134,125,1,,,1,,,,,132,77,
202205,OBERKLASSE,AUDI E-TRON GT,227,,,,,,,,,,,,227
202205,OBERKLASSE,BENTLEY CONTINENTAL,71,266.7,59,299.8,12.9,,,,,,12,11,
202205,OBERKLASSE,BMW 6ER,32,176.2,,,,,,,,,32,,
202205,OBERKLASSE,BMW 7ER,204,154.2,45,243.6,10.5,,,,,,159,51,
202205,OBERKLASSE,BMW 8ER,138,229.7,123,236,10.2,,,,,,15,,
202205,OBERKLASSE,MASERATI GHIBLI,22,244.3,18,255.2,11,,,,,,4,,
