DATE,SEGMENT,MODELLREIHE,INSGESAMT,CO2-EMISSION IN G/KM,BENZIN,CO2-EMISSION IN G/KM1,KRAFTSTOFFVERBRAUCH IN L/100 KM,DIESEL,CO2-EMISSION IN G/KM2,KRAFTSTOFFVERBRAUCH IN L/100 KM1,ERDGAS (CNG) (EINSCHL. BIVALENT),FLUSSIGGAS (LPG) (EINSCHL. BIVALENT),HYBRID,DAR. PLUG-IN,ELEKTRO (BEV)
202210,KOMPAKTKLASSE,SEAT BORN,1140,,,,,,,,,,,,1140
202210,KOMPAKTKLASSE,SEAT LEON,1496,113.3,547,166.4,7.2,350,119.3,4.5,16,,583,404,
202210,KOMPAKTKLASSE,SKODA OCTAVIA,3136,116.5,499,146.5,6.3,2091,127.4,4.8,18,1,527,420,
202210,KOMPAKTKLASSE,SKODA SCALA,377,125.3,374,125.5,5.4,,,,3,,,,
202210,KOMPAKTKLASSE,SUBARU IMPREZA,8,176.6,4,179.3,7.7,,,,,,4,,
202210,KOMPAKTKLASSE,SUZUKI SWACE,30,107.3,,,,,,,,,30,,
202210,KOMPAKTKLASSE,TOYOTA COROLLA,490,114.4,4,141.3,6.1,,,,,,486,,
202210,KOMPAKTKLASSE,TOYOTA PRIUS,6,28,,,,,,,,,6,6,
202210,KOMPAKTKLASSE,VW GOLF,7282,119.2,2737,147.6,6.4,2779,121.6,4.6,14,1,1751,972,
202210,KOMPAKTKLASSE,VW ID.3,2160,,,,,,,,,,,,2160
202210,MITTELKLASSE,ALFA ROMEO GIULIA,110,186.6,101,190.9,8.2,9,138.2,5.2,,,,,
202210,MITTELKLASSE,"AUDI A4, S4, RS4",1749,150,89,225.9,9.7,1,,,5,,1654,,
202210,MITTELKLASSE,"AUDI A5, S5, RS5",962,161,65,218,9.4,1,,,1,,895,,
202210,MITTELKLASSE,BMW 3ER,2957,101.1,490,169,7.3,3,133.7,5,,,2464,1263,
202210,MITTELKLASSE,BMW 4ER,1090,108.9,347,185.3,8,1,,,,,339,,403
202210,MITTELKLASSE,CITROEN C5,249,70,50,145.4,6.3,22,137.2,5.2,,,177,177,
202210,MITTELKLASSE,FORD MONDEO,9,146.9,,,,7,151.3,5.7,,,2,,
202210,MITTELKLASSE,JAGUAR XE,11,182.6,9,189.4,8.2,,,,,,2,,
202210,MITTELKLASSE,KIA STINGER,13,247,13,247,10.6,,,,,,,,
202210,MITTELKLASSE,MAZDA 6,216,166.8,216,166.8,7.2,,,,,,,,
202210,MITTELKLASSE,MERCEDES C-KLASSE,2366,104.1,131,225.4,9.7,29,147,5.5,,,2206,867,
202210,MITTELKLASSE,MERCEDES CLA-KLASSE,1572,101.7,702,150.1,6.5,288,135.8,5.1,,,582,582,
202210,MITTELKLASSE,MG ROEWE 5,579,,,,,,,,,,,,579
202210,MITTELKLASSE,OPEL INSIGNIA,581,144.4,98,191.3,8.2,483,134.7,5.1,,,,,
202210,MITTELKLASSE,PEUGEOT 508,153,64.4,5,132.8,5.7,37,124.4,4.7,,,111,111,
202210,MITTELKLASSE,POLESTAR 2,1073,,,,,,,,,,,,1073
202210,MITTELKLASSE,RENAULT TALISMAN,15,153,3,145.3,6.3,12,154.9,5.8,,,,,
202210,MITTELKLASSE,SKODA SUPERB,1134,124.2,151,165.3,7.1,741,146.5,5.5,,,242,242,
202210,MITTELKLASSE,TESLA MODEL 3,1563,,,,,,,,,,,,1563
202210,MITTELKLASSE,VOLVO 60,383,87.1,,,,,,,,,383,181,
202210,MITTELKLASSE,VW ARTEON,1237,141.6,552,189.6,8.2,435,145.1,5.5,,,250,250,
202210,MITTELKLASSE,VW PASSAT,3187,123,604,154.9,6.7,2147,133.4,5,,,436,436,
202210,MITTELKLASSE,SONSTIGE,1,,1,,,,,,,,,,
202210,OBERE MITTELKLASSE,"AUDI A6, S6, RS6",2577,141.4,3,,,,,,,,2574,653,
202210,OBERE MITTELKLASSE,BMW 5ER,1479,111.4,24,248.5,10.7,,,,,,1455,554,
202210,OBERE MITTELKLASSE,DS DS9,6,65.6,1,,,,,,,,5,5,
202210,OBERE MITTELKLASSE,JAGUAR XF,11,156.5,1,215,9.3,,,,,,10,,
202210,OBERE MITTELKLASSE,LEXUS ES,8,123,,,,,,,,,8,,
202210,OBERE MITTELKLASSE,MERCEDES E-KLASSE,1715,87.5,85,279.7,12.1,168,167.9,6.3,,,1162,692,300
202210,OBERE MITTELKLASSE,SUBARU OUTBACK,61,193,61,193,8.3,,,,,,,,
202210,OBERE MITTELKLASSE,TOYOTA CAMRY,12,125.1,,,,,,,,,12,,
202210,OBERE MITTELKLASSE,TOYOTA MIRAI,30,,,,,,,,,,,,
202210,OBERE MITTELKLASSE,VOLVO 90,173,66.8,,,,1,149,5.6,,,172,117,
202210,OBERE MITTELKLASSE,SONSTIGE,1,,1,,,,,,,,,,
202210,OBERKLASSE,"AUDI A7, S7, RS7",74,205.2,,,,,,,,,74,1,
202210,OBERKLASSE,"AUDI A8, S8",139,193.9,1,,,,,,,,138,18,
202210,OBERKLASSE,AUDI E-TRON GT,103,,,,,,,,,,,,103
202210,OBERKLASSE,BENTLEY CONTINENTAL,25,298.4,24,296.2,12.8,,,,,,1,1,
202210,OBERKLASSE,BMW 6ER,45,174.3,,,,,,,,,45,,
202210,OBERKLASSE,BMW 7ER,136,100.3,5,240,10.3,,,,,,79,3,52
202210,OBERKLASSE,BMW 8ER,91,222.9,70,236,10.2,,,,,,21,,
202210,OBERKLASSE,LEXUS LS,1,215,,,,,,,,,1,,
202210,OBERKLASSE,MASERATI GHIBLI,14,228.7,6,267.3,11.5,,,,,,8,,
202210,OBERKLASSE,MASERATI QUATTROPORTE,3,257.3,3,257.3,11.1,,,,,,,,
202210,OBERKLASSE,MERCEDES CLS,41,194.4,,,,14,182.5,6.9,,,27,,
202210,OBERKLASSE,MERCEDES S-KLASSE,632,134,23,318.3,13.7,147,186.1,7,,,286,93,176
202210,OBERKLASSE,PORSCHE PANAMERA,159,116.2,46,271,11.7,,,,,,113,113,
202210,OBERKLASSE,PORSCHE TAYCAN,308,,,,,,,,,,,,308
202210,OBERKLASSE,ROLLS ROYCE DAWN,1,368,1,368,15.9,,,,,,,,
202210,SUVS,ALFA ROMEO STELVIO,140,197.8,106,208.8,9,34,163.6,6.2,,,,,
202210,SUVS,ALFA ROMEO TONALE,185,138.9,,,,14,147,5.5,,,171,,
202210,SUVS,AUDI E-TRON,1141,,,,,,,,,,,,1141
202210,SUVS,AUDI Q2,801,143.4,594,145.8,6.3,207,136.7,5.2,,,,,
202210,SUVS,AUDI Q4,1031,,,,,,,,,,,,1031
202210,SUVS,BMW IX,319,,,,,,,,,,,,319
202210,SUVS,BMW X1,1181,137.9,472,147,6.3,277,133.3,5,,,432,52,
202210,SUVS,BMW X2,298,109,129,155.4,6.7,57,140.8,5.3,,,112,112,
202210,SUVS,CADILLAC XT4,18,201.3,12,213,9.2,6,177.8,6.7,,,,,
202210,SUVS,DACIA DUSTER,1138,140.2,784,143.8,6.2,180,137.3,5.2,,174,,,
202210,SUVS,DS DS7 CROSSBACK,263,66,55,158.9,6.9,13,140.8,5.3,,,195,195,
202210,SUVS,FORD ECOSPORT,509,146.1,509,146.1,6.3,,,,,,,,
202210,SUVS,FORD EXPLORER,87,76.7,,,,,,,,,87,87,
202210,SUVS,FORD KUGA,3299,58.9,124,151.7,6.5,637,151.2,5.7,,,2537,2394,
202210,SUVS,FORD MUSTANG MACH-E,518,,,,,,,,,,,,518
202210,SUVS,HONDA CR-V,144,158.2,,,,,,,,,144,,
202210,SUVS,HONDA HR-V,210,122,,,,,,,,,210,,
202210,SUVS,HYUNDAI BAYON,120,121.9,60,124.2,5.4,,,,,,60,,
202210,SUVS,HYUNDAI IONIQ5,1100,,,,,,,,,,,,1100
202210,SUVS,HYUNDAI KONA,1671,47.9,224,171.9,7.4,,,,,,339,,1108
202210,SUVS,HYUNDAI NEXO,8,,,,,,,,,,,,
202210,SUVS,HYUNDAI TUCSON,1606,71.3,21,156.2,6.7,,,,,,1585,1050,
202210,SUVS,JAGUAR I-PACE,20,,,,,,,,,,,,20
202210,SUVS,KIA EV6,255,,,,,,,,,,,,255
202210,SUVS,KIA NIRO,584,14.7,,,,,,,,,320,297,264
202210,SUVS,KIA SPORTAGE,1276,89.2,109,152.2,6.6,,,,,,1167,622,
202210,SUVS,KIA STONIC,392,128.9,229,129.5,5.6,,,,,,163,,
202210,SUVS,LADA NIVA,10,240,10,240,10.3,,,,,,,,
202210,SUVS,LEXUS NX,68,51,,,,,,,,,68,54,
202210,SUVS,LEXUS RX,43,178.8,,,,,,,,,43,,
202210,SUVS,LEXUS UX,60,125.3,,,,,,,,,60,,
202210,SUVS,LYNK & CO 01,448,26.7,,,,,,,,,448,445,
202210,SUVS,MASERATI GRECALE,52,222.6,20,254,10.9,,,,,,32,,
202210,SUVS,MASERATI LEVANTE,22,273.7,15,295.7,12.7,,,,,,7,,
202210,SUVS,MAZDA CX-3,6,146.7,6,146.7,6.3,,,,,,,,
202210,SUVS,MAZDA CX-5,643,169.9,480,170.7,7.4,163,167.6,6.3,,,,,
202210,SUVS,MAZDA CX-30,639,139.1,,,,,,,,,639,,
202210,SUVS,MAZDA CX-60,681,34.5,,,,,,,,,681,681,
202210,SUVS,MAZDA MX-30,295,,,,,,,,,,,,295
202210,SUVS,MERCEDES GLA,2331,79.8,894,160.5,6.9,202,145.8,5.5,,,455,455,780
202210,SUVS,MERCEDES GLB,1387,84.7,408,174.1,7.5,329,151.2,5.7,,,,,650
202210,SUVS,"MERCEDES GLK, GLC",1439,98.1,79,273.5,11.8,342,172.5,6.5,,,494,208,524
202210,SUVS,MG ROEWE MARVEL,287,,,,,,,,,,,,287
202210,SUVS,MG ROEWE RX6,360,43,,,,,,,,,360,360,
202210,SUVS,MG ROEWE ZS,373,65,161,151.6,6.5,,,,,,,,212
202210,SUVS,MITSUBISHI ECLIPSE CROSS,1385,46,,,,,,,,,1385,1385,
202210,SUVS,NISSAN ARIYA,189,,,,,,,,,,,,189
202210,SUVS,NISSAN QASHQAI,947,139.8,1,159,6.9,,,,,,946,,
202210,SUVS,OPEL CROSSLAND X,1107,133.5,1055,133.8,5.8,52,128.6,4.9,,,,,
202210,SUVS,OPEL GRANDLAND X,1154,87.7,349,145,6.3,245,135.4,5.1,,,560,560,
202210,SUVS,OPEL MOKKA,2723,56.9,1175,130.8,5.6,17,117.1,4.4,,,,,1531
202210,SUVS,PEUGEOT 2008,526,56.7,195,133,5.7,30,129.2,4.9,,,,,301
202210,SUVS,RENAULT ARKANA,776,129.4,,,,,,,,,776,,
202210,SUVS,RENAULT CAPTUR,637,113.8,88,133.3,5.7,,,,,7,542,122,
202210,SUVS,RENAULT KADJAR,12,141.8,10,143.4,6.2,2,134,5.1,,,,,
202210,SUVS,RENAULT KOLEOS,156,163.7,81,151.3,6.5,75,176.7,6.7,,,,,
202210,SUVS,ROLLS ROYCE CULLINAN,13,374.9,13,374.9,16.2,,,,,,,,
202210,SUVS,SEAT ARONA,221,131,218,131.3,5.7,,,,3,,,,
202210,SUVS,SEAT ATECA,1021,168.1,778,176.8,7.6,243,140.3,5.3,,,,,
202210,SUVS,SEAT FORMENTOR,3117,84.3,921,179.6,7.7,254,147.4,5.6,,,1942,1942,
202210,SUVS,SEAT TARRACO,771,101.9,88,174.6,7.5,285,163.7,6.2,,,398,398,
202210,SUVS,SKODA ENYAQ,1098,,,,,,,,,,,,1098
202210,SUVS,SKODA KAMIQ,1049,130.3,1044,130.4,5.6,,,,5,,,,
202210,SUVS,SKODA KAROQ,1810,144.3,1348,144.9,6.2,462,142.3,5.4,,,,,
202210,SUVS,SSANGYONG KORANDO,42,124.6,28,181.1,7.8,1,164,6.2,,,,,13
202210,SUVS,SSANGYONG TIVOLI,66,169,66,169,7.3,,,,,,,,
202210,SUVS,SUBARU SOLTERRA,4,,,,,,,,,,,,4
202210,SUVS,SUBARU XV,49,180,22,180,7.8,,,,,,27,,
202210,SUVS,SUZUKI ACROSS,4,22,,,,,,,,,4,4,
202210,SUVS,SUZUKI SX4,70,125.9,,,,,,,,,70,,
202210,SUVS,SUZUKI VITARA,312,126.7,,,,,,,,,312,,
202210,SUVS,TESLA MODEL Y,1622,,,,,,,,,,,,1622
202210,SUVS,TOYOTA BZ4,13,,,,,,,,,,,,13
202210,SUVS,TOYOTA C-HR,610,116,,,,,,,,,610,,
202210,SUVS,TOYOTA HIGHLANDER,14,159.5,1,160,6.9,,,,,,13,,
202210,SUVS,TOYOTA RAV 4,539,88.8,3,160,6.9,,,,,,536,200,
202210,SUVS,VOLVO C40,347,,,,,,,,,,,,347
202210,SUVS,"VW ID.4, ID.5",2115,,,,,,,,,,,,2115
202210,SUVS,VW T-CROSS,2220,138.7,2220,138.7,6,,,,,,,,
202210,SUVS,VW T-ROC,5223,146.8,4621,148.5,6.4,602,134.2,5.1,,,,,
202210,SUVS,VW TAIGO,1762,131.2,1762,131.2,5.7,,,,,,,,
202210,SUVS,SONSTIGE,1,143,,,,,,,,,1,,
202210,GELÄNDEWAGEN,ASTON MARTIN DBX,22,327.7,22,327.7,14.1,,,,,,,,
202210,GELÄNDEWAGEN,AUDI Q3,2080,128,588,184.7,8,604,154,5.8,,,888,639,
202210,GELÄNDEWAGEN,AUDI Q5,1790,167.7,5,,,,,,,,1785,214,
202210,GELÄNDEWAGEN,AUDI Q7,317,209.8,64,280.7,12.1,2,,,,,251,54,
202210,GELÄNDEWAGEN,AUDI Q8,333,233.8,93,288.1,12.4,2,,,,,238,53,
202210,GELÄNDEWAGEN,BENTLEY BENTAYGA,15,294,15,294,12.7,,,,,,,,
202210,GELÄNDEWAGEN,BMW X3,1881,108.7,56,248.6,10.7,,,,,,1493,506,332
202210,GELÄNDEWAGEN,BMW X4,426,178.4,51,245.6,10.6,,,,,,375,,
202210,GELÄNDEWAGEN,BMW X5,1356,106.5,71,283.4,12.2,18,198.9,7.5,,,1267,760,
202210,GELÄNDEWAGEN,BMW X6,215,205.4,45,277.8,12,,,,,,170,,
202210,GELÄNDEWAGEN,BMW X7,130,230,10,284.8,12.3,,,,,,120,,
202210,GELÄNDEWAGEN,CADILLAC ESCALADE,15,,15,,,,,,,,,,
202210,GELÄNDEWAGEN,HYUNDAI SANTA FE,278,98.4,,,,91,176,6.6,,,187,152,
202210,GELÄNDEWAGEN,JAGUAR E-PACE,44,145.4,,,,,,,,,44,15,
202210,GELÄNDEWAGEN,JAGUAR F-PACE,65,144.4,20,238.3,10.3,,,,,,45,29,
202210,GELÄNDEWAGEN,JEEP COMPASS,199,52,1,157,6.8,5,136,5.1,,,193,184,
202210,GELÄNDEWAGEN,JEEP RENEGADE,629,69.5,137,144.6,6.2,15,139.8,5.3,,,477,472,
202210,GELÄNDEWAGEN,JEEP WRANGLER,83,99.5,14,288.5,12.4,1,,,,,68,68,
202210,GELÄNDEWAGEN,KIA SORENTO,132,141,,,,92,173.7,6.6,,,40,31,
202210,GELÄNDEWAGEN,LAMBORGHINI URUS,44,325,44,325,14,,,,,,,,
202210,GELÄNDEWAGEN,LAND ROVER DEFENDER,237,252.4,35,333.6,14.4,,,,,,202,6,
202210,GELÄNDEWAGEN,LAND ROVER DISCOVERY,17,224.2,,,,,,,,,17,,
202210,GELÄNDEWAGEN,LAND ROVER DISCOVERY SPORT,75,157.2,,,,4,173.5,6.5,,,71,16,
202210,GELÄNDEWAGEN,LAND ROVER RANGE ROVER,126,235.7,76,265.9,11.5,,,,,,50,7,
202210,GELÄNDEWAGEN,LAND ROVER RANGE ROVER EVOQUE,330,162.4,,,,2,161.5,6.1,,,328,71,
202210,GELÄNDEWAGEN,LAND ROVER RANGE ROVER SPORT,49,152.2,6,330,14.2,,,,,,43,19,
202210,GELÄNDEWAGEN,LAND ROVER RANGE ROVER VELAR,105,174.5,33,220.5,9.5,,,,,,72,17,
202210,GELÄNDEWAGEN,MERCEDES G-KLASSE,281,348.9,225,363,15.6,55,291.4,11,,,1,,
202210,GELÄNDEWAGEN,"MERCEDES GL-KLASSE, GLS",172,258.6,,,,86,230.9,8.7,,,86,,
202210,GELÄNDEWAGEN,"MERCEDES ML-KLASSE, GLE",1697,109.4,,,,421,215,8.1,,,1276,949,
202210,GELÄNDEWAGEN,NISSAN X-TRAIL,168,152.3,,,,,,,,,168,,
202210,GELÄNDEWAGEN,PORSCHE CAYENNE,470,173.3,223,280.4,12.1,,,,,,247,247,
202210,GELÄNDEWAGEN,PORSCHE MACAN,444,241.7,444,241.7,10.4,,,,,,,,
202210,GELÄNDEWAGEN,SKODA KODIAQ,1307,167.7,438,180.7,7.8,869,161.1,6.1,,,,,
202210,GELÄNDEWAGEN,SSANGYONG REXTON,24,218.8,,,,24,218.8,8.3,,,,,
202210,GELÄNDEWAGEN,SUBARU FORESTER,101,184.6,,,,,,,,,101,,
202210,GELÄNDEWAGEN,TOYOTA LANDCRUISER,424,250.1,2,,,422,250.1,9.4,,,,,
202210,GELÄNDEWAGEN,VOLVO XC40,1083,43.8,49,164.6,7.1,,,,,,575,465,459
202210,GELÄNDEWAGEN,VOLVO XC60,870,137.1,,,,,,,,,870,205,
202210,GELÄNDEWAGEN,VOLVO XC90,462,91.1,,,,,,,,,462,287,
202210,GELÄNDEWAGEN,VW TIGUAN,6037,140.4,1861,171.9,7.4,3043,159.1,6,,1,1132,1132,
202210,GELÄNDEWAGEN,VW TOUAREG,314,162.4,57,261.1,11.3,133,220.1,8.3,,,124,124,
202210,GELÄNDEWAGEN,SONSTIGE,3,,3,,,,,,,,,,
202210,SPORTWAGEN,ALPINE A110,10,155.5,10,155.5,6.7,,,,,,,,
202210,SPORTWAGEN,ASTON MARTIN DB11,3,256,3,256,11,,,,,,,,
202210,SPORTWAGEN,ASTON MARTIN V8,5,263.8,5,263.8,11.4,,,,,,,,
202210,SPORTWAGEN,AUDI R8,16,308.1,16,308.1,13.3,,,,,,,,
202210,SPORTWAGEN,AUDI TT,153,181.5,153,181.5,7.8,,,,,,,,
202210,SPORTWAGEN,BMW Z4,189,170.1,189,170.1,7.3,,,,,,,,
202210,SPORTWAGEN,FERRARI 296 GTB,27,166.6,,,,,,,,,27,27,
202210,SPORTWAGEN,FERRARI F8,17,295.1,17,295.1,12.7,,,,,,,,
202210,SPORTWAGEN,FERRARI PORTOFINO,13,256.8,13,256.8,11.1,,,,,,,,
202210,SPORTWAGEN,FERRARI ROMA,17,255,17,255,11,,,,,,,,
202210,SPORTWAGEN,FERRARI SF90,19,182.2,,,,,,,,,19,19,
202210,SPORTWAGEN,FORD MUSTANG,135,262.8,135,262.8,11.3,,,,,,,,
202210,SPORTWAGEN,JAGUAR F-TYPE,36,225.5,36,225.5,9.7,,,,,,,,
202210,SPORTWAGEN,LEXUS LC,7,269.4,7,269.4,11.6,,,,,,,,
202210,SPORTWAGEN,LOTUS EMIRA,3,258,3,258,11.1,,,,,,,,
202210,SPORTWAGEN,MERCEDES AMG GT,76,249.3,31,303.4,13.1,,,,,,45,14,
202210,SPORTWAGEN,MERCEDES E-KLASSE COUPE,119,184.9,,,,43,168.5,6.4,,,76,,
202210,SPORTWAGEN,MERCEDES SL,399,269.2,291,291.6,12.6,,,,,,108,6,
202210,SPORTWAGEN,PORSCHE 911,666,257.8,663,257.8,11.1,,,,,,3,,
202210,SPORTWAGEN,PORSCHE BOXSTER,108,225.8,108,225.8,9.7,,,,,,,,
202210,SPORTWAGEN,PORSCHE CAYMAN,52,243.8,52,243.8,10.5,,,,,,,,
202210,SPORTWAGEN,TOYOTA GR 86,54,199.7,54,199.7,8.6,,,,,,,,
202210,SPORTWAGEN,TOYOTA SUPRA,18,189.8,18,189.8,8.2,,,,,,,,
202210,MINI-VANS,DACIA LODGY,44,130.4,1,146,6.3,43,130.1,4.9,,,,,
202210,MINI-VANS,KIA SOUL,61,,,,,,,,,,,,61
202210,MINI-VANS,MERCEDES B-KLASSE,767,87.6,284,141.8,6.1,133,135.8,5.1,,,350,350,
202210,MINI-VANS,PEUGEOT 3008,460,63.1,56,145,6.3,71,135.9,5.1,,,333,333,
202210,MINI-VANS,RENAULT SCENIC,30,150,30,150,6.5,,,,,,,,
202210,GROSSRAUM-VANS,DACIA JOGGER,589,123.2,253,128.7,5.5,,,,,336,,,
202210,GROSSRAUM-VANS,FIAT ULYSSE,36,,,,,,,,,,,,36
202210,GROSSRAUM-VANS,FORD GALAXY,107,165.9,,,,83,171,6.5,,,24,,
202210,GROSSRAUM-VANS,FORD S-MAX,563,163.2,,,,452,167.3,6.3,,,111,,
202210,GROSSRAUM-VANS,MERCEDES V-KLASSE,1931,192.9,,,,1770,210.6,7.9,,,,,161
202210,GROSSRAUM-VANS,PEUGEOT 5008,84,151,31,151.9,6.5,53,150.4,5.7,,,,,
202210,GROSSRAUM-VANS,RENAULT ESPACE,12,167.5,,,,12,167.5,6.3,,,,,
202210,GROSSRAUM-VANS,SEAT ALHAMBRA,370,195.1,370,195.1,8.4,,,,,,,,
202210,GROSSRAUM-VANS,VW SHARAN,317,188.5,317,188.5,8.1,,,,,,,,
202210,GROSSRAUM-VANS,VW TOURAN,1555,147.2,762,152.8,6.6,793,141.8,5.4,,,,,
202210,UTILITIES,CITROEN BERLINGO,264,123.9,106,148.8,6.4,123,138.3,5.2,,,,,35
202210,UTILITIES,CITROEN JUMPER,18,267.2,1,264,11.4,17,267.4,10.1,,,,,
202210,UTILITIES,CITROEN JUMPY,25,132.9,,,,18,184.6,7,,,,,7
202210,UTILITIES,FIAT DOBLO,1,164,,,,1,164,6.2,,,,,
202210,UTILITIES,FIAT DUCATO,39,240.5,,,,39,240.5,9.1,,,,,
202210,UTILITIES,FORD TRANSIT CONNECT,134,144.2,36,150.4,6.5,98,141.9,5.4,,,,,
202210,UTILITIES,FORD TRANSIT COURIER,16,135.4,1,154,6.6,15,134.1,5.1,,,,,
202210,UTILITIES,"FORD TRANSIT, TOURNEO",770,215.3,,,,703,216.6,8.2,,,67,,
202210,UTILITIES,HYUNDAI STARIA,240,228.4,,,,240,228.4,8.6,,,,,
202210,UTILITIES,MAN TGE,22,264.4,,,,22,264.4,10,,,,,
202210,UTILITIES,MERCEDES CITAN,370,145.4,53,156,6.7,311,146.4,5.5,,,,,6
202210,UTILITIES,MERCEDES SPRINTER,242,262.3,1,,,241,262.3,9.9,,,,,
202210,UTILITIES,MERCEDES VITO,574,187.6,,,,543,198.4,7.5,,,,,31
202210,UTILITIES,NISSAN NV300,1,208,,,,1,208,7.8,,,,,
202210,UTILITIES,NISSAN PRIMASTAR,56,187.2,,,,56,187.2,7.1,,,,,
202210,UTILITIES,NISSAN TOWNSTAR,66,153.5,66,153.5,6.6,,,,,,,,
202210,UTILITIES,OPEL COMBO,348,133.4,155,149.3,6.4,169,137.9,5.2,,,,,24
202210,UTILITIES,OPEL ZAFIRA LIFE,367,167.9,,,,337,182.8,6.9,,,,,30
202210,UTILITIES,PEUGEOT BOXER,2,260,,,,2,260,9.8,,,,,
202210,UTILITIES,PEUGEOT EXPERT,26,140.6,,,,20,185.1,7,,,,,6
202210,UTILITIES,PEUGEOT RIFTER,155,134.3,68,152.9,6.6,75,139,5.2,,,,,12
202210,UTILITIES,RENAULT KANGOO,257,154.9,229,156.1,6.7,28,145.4,5.5,,,,,
202210,UTILITIES,RENAULT MASTER,1,,,,,1,,,,,,,
202210,UTILITIES,RENAULT TRAFIC,144,189.7,,,,144,189.7,7.2,,,,,
202210,UTILITIES,TOYOTA PROACE,406,164.5,162,153.9,6.6,228,183.5,6.9,,,,,16
202210,UTILITIES,VW CADDY,1668,140.6,632,149.8,6.5,1032,135,5.1,2,,2,2,
202210,UTILITIES,VW CRAFTER,88,240,,,,88,240,9.1,,,,,
202210,UTILITIES,VW ID. BUZZ,31,,,,,,,,,,,,31
202210,UTILITIES,VW TRANSPORTER,1423,174.6,107,193.6,8.3,1065,203.4,7.7,,,251,251,
202210,UTILITIES,SONSTIGE,3,,,,,3,,,,,,,
202210,WOHNMOBILE,CITROEN JUMPER,762,278.2,3,266,11.5,759,278.3,10.5,,,,,
202210,WOHNMOBILE,CITROEN JUMPY,19,170.3,,,,17,191.6,7.2,,,,,2
202210,WOHNMOBILE,FIAT DUCATO,723,277.7,1,251,10.8,722,277.8,10.5,,,,,
202210,WOHNMOBILE,"FORD TRANSIT, TOURNEO",419,252.8,2,285,12.3,414,252.8,9.5,,,,,
202210,WOHNMOBILE,IVECO DAILY,61,,,,,61,,,,,,,
202210,WOHNMOBILE,MAN TGE,83,326.5,,,,83,326.5,12.3,,,,,
202210,WOHNMOBILE,MAN TGM,3,,,,,3,,,,,,,
202210,WOHNMOBILE,MERCEDES SPRINTER,412,346,,,,412,346,13.1,,,,,
202210,WOHNMOBILE,MERCEDES V-KLASSE,139,218.3,,,,139,218.3,8.2,,,,,
202210,WOHNMOBILE,MERCEDES VITO,17,201.7,,,,17,201.7,7.6,,,,,
202210,WOHNMOBILE,OPEL ZAFIRA LIFE,23,195,,,,23,195,7.4,,,,,
202210,WOHNMOBILE,PEUGEOT BOXER,182,275.9,2,270.5,11.7,180,276,10.4,,,,,
202210,WOHNMOBILE,PEUGEOT EXPERT,13,192.1,,,,13,192.1,7.2,,,,,
202210,WOHNMOBILE,RENAULT MASTER,1,239,,,,1,239,9,,,,,
202210,WOHNMOBILE,RENAULT TRAFIC,15,231.6,,,,15,231.6,8.7,,,,,
202210,WOHNMOBILE,TOYOTA PROACE,14,193.6,,,,14,193.6,7.3,,,,,
202210,WOHNMOBILE,VW CADDY,24,143.8,8,150.9,6.5,16,140.3,5.3,,,,,
202210,WOHNMOBILE,VW CRAFTER,148,286.1,,,,148,286.1,10.8,,,,,
202210,WOHNMOBILE,VW TRANSPORTER,455,213.1,1,248,10.7,454,213,8,,,,,
202210,WOHNMOBILE,SONSTIGE,112,303.6,2,,,110,303.6,11.5,,,,,
202210,WOHNMOBILE,SONSTIGE,1373,138.9,662,271.2,11.7,100,219,8.3,,11,242,91,355
202210,NEUZULASSUNGEN,INSGESAMT,208642,107.3,66676,151.3,6.5,36554,162.1,6.1,126,927,68533,32064,35781
202211,MINIS,DACIA SPRING,2035,,,,,,,,,,,,2035
202211,MINIS,FIAT 500,6867,46.9,203,154.3,6.7,,,,,,2760,,3904
202211,MINIS,FIAT PANDA,153,111.8,1,156,6.7,,,,,1,151,,
202211,MINIS,HYUNDAI I 10,1340,118.1,1340,118.1,5.1,,,,,,,,
202211,MINIS,KIA PICANTO,529,120.7,529,120.7,5.2,,,,,,,,
202211,MINIS,RENAULT TWINGO,654,29.9,167,117.3,5.1,,,,,,,,487
202211,MINIS,SMART FORTWO,1434,,,,,,,,,,,,1434
202211,MINIS,TOYOTA AYGO,1243,110.4,1243,110.4,4.8,,,,,,,,
202211,MINIS,VW UP,1921,26.2,429,116.4,5,,,,5,,,,1487
202211,KLEINWAGEN,"AUDI A1, S1",1759,136.1,1759,136.1,5.9,,,,,,,,
202211,KLEINWAGEN,BMW I3,148,,,,,,,,,,,,148
202211,KLEINWAGEN,CITROEN C3,484,129.3,462,129.7,5.6,22,119.4,4.5,,,,,
202211,KLEINWAGEN,DS DS3,135,20.9,21,134.3,5.8,,,,,,,,114
202211,KLEINWAGEN,FORD FIESTA,1478,124.1,1007,126.6,5.5,,,,,,471,,
202211,KLEINWAGEN,FORD PUMA,1866,129.2,73,149.5,6.4,2,119,4.5,,,1791,,
202211,KLEINWAGEN,HONDA E,69,,,,,,,,,,,,69
202211,KLEINWAGEN,HONDA JAZZ,150,105.2,,,,,,,,,150,,
202211,KLEINWAGEN,HYUNDAI I 20,887,125.3,555,128.6,5.5,,,,,,332,,
202211,KLEINWAGEN,KIA RIO,417,123.3,346,122.9,5.3,,,,,,71,,
202211,KLEINWAGEN,MAZDA 2,727,106.9,207,118.4,5.1,,,,,,520,,
