DATE,MARKE,INSGESAMT,WEISS,GELB,ORANGE,ROT,LILA/VIOLETT,BLAU,GRUN,GRAU,BRAUN,SCHWARZ,SONSTIGE
202102,HONDA,288.0,61.0,11.0,,71.0,,44.0,,42.0,9.0,50.0,
202102,HYUNDAI,6511.0,1542.0,,31.0,720.0,,968.0,237.0,1909.0,79.0,1024.0,1.0
202102,JAGUAR,367.0,41.0,1.0,,22.0,,23.0,8.0,117.0,,155.0,
202102,JEEP,701.0,89.0,1.0,8.0,16.0,,65.0,24.0,254.0,,243.0,1.0
202102,KIA,3878.0,1036.0,82.0,36.0,222.0,,544.0,24.0,1173.0,37.0,724.0,
202102,LAND ROVER,1071.0,198.0,2.0,2.0,23.0,,49.0,50.0,331.0,18.0,398.0,
202102,LEXUS,163.0,49.0,,1.0,9.0,,5.0,13.0,44.0,,42.0,
202102,MAZDA,1421.0,198.0,,,352.0,,121.0,,468.0,38.0,244.0,
202102,MERCEDES,16901.0,3181.0,148.0,12.0,413.0,23.0,1129.0,135.0,5432.0,25.0,6013.0,390.0
202102,MINI,3312.0,451.0,,40.0,243.0,,401.0,498.0,917.0,1.0,761.0,
202102,MITSUBISHI,1873.0,614.0,99.0,,360.0,1.0,117.0,,352.0,61.0,269.0,
202102,NISSAN,2356.0,560.0,,28.0,305.0,33.0,243.0,1.0,569.0,70.0,541.0,6.0
202102,OPEL,12443.0,2461.0,3.0,494.0,1477.0,2.0,1411.0,38.0,3720.0,156.0,2649.0,32.0
202102,PEUGEOT,4012.0,818.0,293.0,177.0,357.0,,663.0,26.0,866.0,50.0,711.0,51.0
202102,POLESTAR,104.0,25.0,,,,,11.0,,47.0,,21.0,
202102,PORSCHE,1797.0,208.0,21.0,10.0,103.0,3.0,157.0,75.0,555.0,16.0,649.0,
202102,RENAULT,7830.0,2115.0,52.0,399.0,896.0,63.0,1189.0,16.0,1719.0,44.0,1321.0,16.0
202102,SEAT,8472.0,1985.0,,3.0,914.0,,545.0,158.0,2931.0,9.0,1925.0,2.0
202102,SKODA,12120.0,2283.0,14.0,7.0,596.0,7.0,1796.0,145.0,4171.0,141.0,2959.0,1.0
202102,SMART,1550.0,308.0,40.0,7.0,109.0,1.0,30.0,19.0,285.0,2.0,749.0,
202102,SSANGYONG,129.0,19.0,,13.0,19.0,,21.0,,25.0,,32.0,
202102,SUBARU,306.0,43.0,2.0,2.0,22.0,,37.0,21.0,112.0,17.0,50.0,
