DATE,LAND,STATISTISCHE KENNZIFFER UND ZULASSUNGSBEZIRK,INSGESAMT,BENZIN,DIESEL,GAS (EINSCHL. BIVALENT),HYBRID INSGESAMT,ELEKTRO (BEV),SONSTIGE,EURO 1,EURO 2,EURO 3,EURO 4,EURO 5,EURO 6,SONSTIGE1
2020,BADEN-WURTTEMBERG,08315 BREISGAU-HOCHSCHWARZWALD,158892.0,102129.0,53427.0,993.0,1644.0,653.0,46.0,2496.0,11611.0,13329.0,43532.0,42199.0,41823.0,1397.0
2020,BADEN-WURTTEMBERG,08316 EMMENDINGEN,101079.0,66881.0,32253.0,667.0,930.0,332.0,16.0,1551.0,7883.0,8890.0,29478.0,26360.0,24722.0,787.0
2020,BADEN-WURTTEMBERG,08317 ORTENAUKREIS,273234.0,177320.0,91622.0,1464.0,2068.0,714.0,46.0,4044.0,20118.0,23582.0,76578.0,70200.0,73511.0,1745.0
2020,BADEN-WURTTEMBERG,08325 ROTTWEIL,93905.0,58187.0,34213.0,516.0,774.0,198.0,17.0,1003.0,4601.0,5994.0,23753.0,26278.0,30520.0,569.0
2020,BADEN-WURTTEMBERG,08326 SCHWARZWALD-BAAR-KREIS,131888.0,84865.0,44385.0,738.0,1560.0,304.0,36.0,1331.0,6204.0,8311.0,32417.0,37130.0,44014.0,769.0
2020,BADEN-WURTTEMBERG,08327 TUTTLINGEN,88742.0,54971.0,32136.0,453.0,935.0,231.0,16.0,864.0,3757.0,5268.0,20774.0,24913.0,31673.0,538.0
2020,BADEN-WURTTEMBERG,08335 KONSTANZ,160274.0,109782.0,46651.0,1266.0,2003.0,539.0,33.0,2103.0,9797.0,12240.0,43234.0,41958.0,47289.0,1331.0
2020,BADEN-WURTTEMBERG,08336 LOERRACH,136632.0,93036.0,40720.0,515.0,1768.0,556.0,37.0,1914.0,8615.0,10669.0,36561.0,36664.0,39155.0,962.0
2020,BADEN-WURTTEMBERG,08337 WALDSHUT,107515.0,71188.0,34469.0,409.0,1033.0,384.0,32.0,1236.0,5867.0,8011.0,28181.0,30558.0,31586.0,836.0
2020,BADEN-WURTTEMBERG,08415 REUTLINGEN,180149.0,118385.0,57909.0,1419.0,1846.0,562.0,28.0,1923.0,9759.0,11546.0,45011.0,48483.0,59777.0,992.0
2020,BADEN-WURTTEMBERG,08416 TUEBINGEN,126073.0,80542.0,42377.0,1298.0,1414.0,414.0,28.0,1373.0,7420.0,8601.0,32394.0,33218.0,40554.0,782.0
2020,BADEN-WURTTEMBERG,08417 ZOLLERNALBKREIS,128059.0,83222.0,42385.0,875.0,1243.0,318.0,16.0,1223.0,6430.0,8069.0,31091.0,35245.0,43553.0,653.0
2020,BADEN-WURTTEMBERG,"08421 ULM,STADT",66682.0,40423.0,24628.0,470.0,858.0,288.0,15.0,616.0,2969.0,3782.0,15723.0,16796.0,25471.0,416.0
2020,BADEN-WURTTEMBERG,08425 ALB-DONAU-KREIS,127884.0,79952.0,45901.0,822.0,863.0,323.0,23.0,1292.0,6343.0,8169.0,34069.0,36274.0,39259.0,686.0
2020,BADEN-WURTTEMBERG,08426 BIBERACH,131290.0,79183.0,49995.0,778.0,953.0,368.0,13.0,1275.0,6509.0,8878.0,35665.0,38076.0,38352.0,857.0
2020,BADEN-WURTTEMBERG,08435 BODENSEEKREIS,138251.0,89693.0,45330.0,854.0,1851.0,493.0,30.0,1837.0,8550.0,10240.0,35172.0,35542.0,43171.0,1184.0
2020,BADEN-WURTTEMBERG,08436 RAVENSBURG,180022.0,110359.0,66575.0,1095.0,1338.0,619.0,36.0,1931.0,10380.0,13302.0,48203.0,49246.0,52772.0,1548.0
