Bundesland;Date;Powertrain;Reg
BRANDENBURG;01.11.21;LPG;29
BRANDENBURG;01.11.21;Hybrid;1324
BREMEN;01.11.21;Benzin;361
BREMEN;01.11.21;Diesel;201
BREMEN;01.11.21;EV;191
BREMEN;01.11.21;CNG;1
BREMEN;01.11.21;LPG;9
BREMEN;01.11.21;Hybrid;388
HAMBURG;01.11.21;Benzin;2538
HAMBURG;01.11.21;Diesel;1331
HAMBURG;01.11.21;EV;821
HAMBURG;01.11.21;CNG;2
HAMBURG;01.11.21;LPG;15
HAMBURG;01.11.21;Hybrid;1981
HESSEN;01.11.21;Benzin;8551
HESSEN;01.11.21;Diesel;3129
HESSEN;01.11.21;EV;4262
HESSEN;01.11.21;CNG;54
HESSEN;01.11.21;LPG;82
HESSEN;01.11.21;Hybrid;5918
MECKLENBURG-VORPOMMERN;01.11.21;Benzin;784
MECKLENBURG-VORPOMMERN;01.11.21;Diesel;375
MECKLENBURG-VORPOMMERN;01.11.21;EV;328
MECKLENBURG-VORPOMMERN;01.11.21;CNG;4
MECKLENBURG-VORPOMMERN;01.11.21;LPG;13
MECKLENBURG-VORPOMMERN;01.11.21;Hybrid;625
NIEDERSACHSEN;01.11.21;Benzin;7620
NIEDERSACHSEN;01.11.21;Diesel;4328
NIEDERSACHSEN;01.11.21;EV;4269
NIEDERSACHSEN;01.11.21;CNG;22
NIEDERSACHSEN;01.11.21;LPG;132
NIEDERSACHSEN;01.11.21;Hybrid;4530
NORDRHEIN-WESTFALEN;01.11.21;Benzin;13349
NORDRHEIN-WESTFALEN;01.11.21;Diesel;5888
NORDRHEIN-WESTFALEN;01.11.21;EV;8747
NORDRHEIN-WESTFALEN;01.11.21;CNG;26
NORDRHEIN-WESTFALEN;01.11.21;LPG;368
NORDRHEIN-WESTFALEN;01.11.21;Hybrid;13024
RHEINLAND-PFALZ;01.11.21;Benzin;2458
RHEINLAND-PFALZ;01.11.21;Diesel;1191
RHEINLAND-PFALZ;01.11.21;EV;1947
RHEINLAND-PFALZ;01.11.21;CNG;5
RHEINLAND-PFALZ;01.11.21;LPG;87
RHEINLAND-PFALZ;01.11.21;Hybrid;2341
SAARLAND;01.11.21;Benzin;778
SAARLAND;01.11.21;Diesel;288
SAARLAND;01.11.21;EV;467
SAARLAND;01.11.21;CNG;3
SAARLAND;01.11.21;LPG;23
SAARLAND;01.11.21;Hybrid;882
SACHSEN;01.11.21;Benzin;2365
SACHSEN;01.11.21;Diesel;1052
SACHSEN;01.11.21;EV;1269
SACHSEN;01.11.21;CNG;8
SACHSEN;01.11.21;LPG;53
SACHSEN;01.11.21;Hybrid;1905
SACHSEN-ANHALT;01.11.21;Benzin;1213
SACHSEN-ANHALT;01.11.21;Diesel;512
SACHSEN-ANHALT;01.11.21;EV;462
SACHSEN-ANHALT;01.11.21;CNG;8
SACHSEN-ANHALT;01.11.21;LPG;31
SACHSEN-ANHALT;01.11.21;Hybrid;1514
SCHLESWIG-HOLSTEIN;01.11.21;Benzin;1583
SCHLESWIG-HOLSTEIN;01.11.21;Diesel;918
SCHLESWIG-HOLSTEIN;01.11.21;EV;1563
SCHLESWIG-HOLSTEIN;01.11.21;CNG;2
SCHLESWIG-HOLSTEIN;01.11.21;LPG;45
SCHLESWIG-HOLSTEIN;01.11.21;Hybrid;1457
THÜRINGEN;01.11.21;Benzin;1427
THÜRINGEN;01.11.21;Diesel;605
THÜRINGEN;01.11.21;EV;562
THÜRINGEN;01.11.21;CNG;1
THÜRINGEN;01.11.21;LPG;25
THÜRINGEN;01.11.21;Hybrid;907
BADEN-WÜRTTEMBERG;01.10.21;Benzin;8316
BADEN-WÜRTTEMBERG;01.10.21;Diesel;4667
BADEN-WÜRTTEMBERG;01.10.21;EV;5308
BADEN-WÜRTTEMBERG;01.10.21;CNG;18
BADEN-WÜRTTEMBERG;01.10.21;LPG;153
BADEN-WÜRTTEMBERG;01.10.21;Hybrid;8444
BAYERN;01.10.21;Benzin;12528
BAYERN;01.10.21;Diesel;6307
BAYERN;01.10.21;EV;5692
BAYERN;01.10.21;CNG;19
BAYERN;01.10.21;LPG;137
BAYERN;01.10.21;Hybrid;10612
BERLIN;01.10.21;Benzin;1457
BERLIN;01.10.21;Diesel;548
BERLIN;01.10.21;EV;821
BERLIN;01.10.21;CNG;3
BERLIN;01.10.21;LPG;15
BERLIN;01.10.21;Hybrid;1306
BRANDENBURG;01.10.21;Benzin;1261
BRANDENBURG;01.10.21;Diesel;628
BRANDENBURG;01.10.21;EV;497
BRANDENBURG;01.10.21;CNG;5
BRANDENBURG;01.10.21;LPG;35
BRANDENBURG;01.10.21;Hybrid;1023
BREMEN;01.10.21;Benzin;391
BREMEN;01.10.21;Diesel;186
BREMEN;01.10.21;EV;142
BREMEN;01.10.21;CNG;1
BREMEN;01.10.21;LPG;6
BREMEN;01.10.21;Hybrid;388
HAMBURG;01.10.21;Benzin;1757
HAMBURG;01.10.21;Diesel;1481
HAMBURG;01.10.21;EV;603
HAMBURG;01.10.21;CNG;1
HAMBURG;01.10.21;LPG;13
HAMBURG;01.10.21;Hybrid;1123
HESSEN;01.10.21;Benzin;7437
HESSEN;01.10.21;Diesel;2885
HESSEN;01.10.21;EV;3143
HESSEN;01.10.21;CNG;28
HESSEN;01.10.21;LPG;82
HESSEN;01.10.21;Hybrid;4830
MECKLENBURG-VORPOMMERN;01.10.21;Benzin;701
MECKLENBURG-VORPOMMERN;01.10.21;Diesel;342
MECKLENBURG-VORPOMMERN;01.10.21;EV;212
MECKLENBURG-VORPOMMERN;01.10.21;CNG;
MECKLENBURG-VORPOMMERN;01.10.21;LPG;7
MECKLENBURG-VORPOMMERN;01.10.21;Hybrid;455
NIEDERSACHSEN;01.10.21;Benzin;7897
NIEDERSACHSEN;01.10.21;Diesel;3378
NIEDERSACHSEN;01.10.21;EV;3024
NIEDERSACHSEN;01.10.21;CNG;33
NIEDERSACHSEN;01.10.21;LPG;94
NIEDERSACHSEN;01.10.21;Hybrid;3956
NORDRHEIN-WESTFALEN;01.10.21;Benzin;12996
NORDRHEIN-WESTFALEN;01.10.21;Diesel;6151
NORDRHEIN-WESTFALEN;01.10.21;EV;6474
NORDRHEIN-WESTFALEN;01.10.21;CNG;32
NORDRHEIN-WESTFALEN;01.10.21;LPG;262
NORDRHEIN-WESTFALEN;01.10.21;Hybrid;11805
RHEINLAND-PFALZ;01.10.21;Benzin;2616
RHEINLAND-PFALZ;01.10.21;Diesel;1130
RHEINLAND-PFALZ;01.10.21;EV;1482
RHEINLAND-PFALZ;01.10.21;CNG;4
RHEINLAND-PFALZ;01.10.21;LPG;78
RHEINLAND-PFALZ;01.10.21;Hybrid;2140
SAARLAND;01.10.21;Benzin;761
SAARLAND;01.10.21;Diesel;305
SAARLAND;01.10.21;EV;341
SAARLAND;01.10.21;CNG;1
SAARLAND;01.10.21;LPG;10
SAARLAND;01.10.21;Hybrid;710
SACHSEN;01.10.21;Benzin;2465
SACHSEN;01.10.21;Diesel;982
SACHSEN;01.10.21;EV;769
SACHSEN;01.10.21;CNG;5
SACHSEN;01.10.21;LPG;39
SACHSEN;01.10.21;Hybrid;1586
SACHSEN-ANHALT;01.10.21;Benzin;1173
SACHSEN-ANHALT;01.10.21;Diesel;397
SACHSEN-ANHALT;01.10.21;EV;363
SACHSEN-ANHALT;01.10.21;CNG;10
SACHSEN-ANHALT;01.10.21;LPG;27
SACHSEN-ANHALT;01.10.21;Hybrid;730
SCHLESWIG-HOLSTEIN;01.10.21;Benzin;1590
SCHLESWIG-HOLSTEIN;01.10.21;Diesel;884
SCHLESWIG-HOLSTEIN;01.10.21;EV;1224
SCHLESWIG-HOLSTEIN;01.10.21;CNG;4
SCHLESWIG-HOLSTEIN;01.10.21;LPG;17
SCHLESWIG-HOLSTEIN;01.10.21;Hybrid;1266
THÜRINGEN;01.10.21;Benzin;1334
THÜRINGEN;01.10.21;Diesel;598
THÜRINGEN;01.10.21;EV;450
THÜRINGEN;01.10.21;CNG;1
THÜRINGEN;01.10.21;LPG;24
THÜRINGEN;01.10.21;Hybrid;909
BADEN-WÜRTTEMBERG;01.09.21;Benzin;8643
BADEN-WÜRTTEMBERG;01.09.21;Diesel;4339
BADEN-WÜRTTEMBERG;01.09.21;EV;5343
BADEN-WÜRTTEMBERG;01.09.21;CNG;25
BADEN-WÜRTTEMBERG;01.09.21;LPG;144
BADEN-WÜRTTEMBERG;01.09.21;Hybrid;8558
BAYERN;01.09.21;Benzin;13982
BAYERN;01.09.21;Diesel;6329
BAYERN;01.09.21;EV;6537
BAYERN;01.09.21;CNG;31
BAYERN;01.09.21;LPG;117
BAYERN;01.09.21;Hybrid;12108
BERLIN;01.09.21;Benzin;1420
BERLIN;01.09.21;Diesel;605
BERLIN;01.09.21;EV;850
BERLIN;01.09.21;CNG;4
BERLIN;01.09.21;LPG;11
BERLIN;01.09.21;Hybrid;1590
