DATE,BUNDESLAND,BENZIN INSGESAMT,DARUNTER EURO 6,DIESEL INSGESAMT,DARUNTER EURO 61,FLUSSIGGAS (LPG) (EINSCHL. BIVALENT),ERDGAS (CNG) (EINSCHL. BIVALENT),ELEKTRO (BEV),HYBRID,DARUNTER PLUG-IN,SONSTIGE
202110,RHEINLAND-PFALZ,2616.0,2598.0,1130.0,1129.0,78.0,4.0,1482.0,2140.0,1035.0,
202110,SAARLAND,761.0,760.0,305.0,305.0,10.0,1.0,341.0,710.0,267.0,1.0
202110,SACHSEN,2465.0,2451.0,982.0,982.0,39.0,5.0,769.0,1586.0,590.0,1.0
202110,SACHSEN-ANHALT,1173.0,1167.0,397.0,397.0,27.0,10.0,363.0,730.0,268.0,
202110,SCHLESWIG-HOLSTEIN,1590.0,1588.0,884.0,884.0,17.0,4.0,1224.0,1266.0,612.0,7.0
202110,THÜRINGEN,1334.0,1330.0,598.0,597.0,24.0,1.0,450.0,909.0,339.0,
202110,SONSTIGE,18.0,17.0,21.0,20.0,,,15.0,44.0,19.0,
202110,DEUTSCHLAND,64698.0,64167.0,30890.0,30801.0,999.0,165.0,30560.0,51327.0,23734.0,44.0
202109,BADEN-WÜRTTEMBERG,8643.0,8593.0,4339.0,4334.0,144.0,25.0,5343.0,8558.0,4232.0,5.0
202109,BAYERN,13982.0,13739.0,6329.0,6280.0,117.0,31.0,6537.0,12108.0,3940.0,12.0
202109,BERLIN,1420.0,1413.0,605.0,605.0,11.0,4.0,850.0,1590.0,557.0,11.0
202109,BRANDENBURG,1363.0,1360.0,568.0,568.0,22.0,4.0,620.0,1102.0,344.0,1.0
202109,BREMEN,395.0,392.0,210.0,210.0,11.0,1.0,170.0,376.0,162.0,
202109,HAMBURG,2068.0,2065.0,1529.0,1529.0,6.0,2.0,776.0,1545.0,564.0,4.0
202109,HESSEN,8631.0,8610.0,3086.0,3085.0,90.0,25.0,3087.0,5822.0,2206.0,6.0
202109,MECKLENBURG-VORPOMMERN,899.0,898.0,446.0,446.0,6.0,2.0,344.0,716.0,162.0,1.0
202109,NIEDERSACHSEN,8198.0,8098.0,3512.0,3508.0,102.0,42.0,3529.0,4471.0,2034.0,5.0
202109,NORDRHEIN-WESTFALEN,14086.0,14063.0,5942.0,5938.0,218.0,33.0,7317.0,14419.0,5465.0,12.0
202109,RHEINLAND-PFALZ,2616.0,2602.0,1239.0,1239.0,53.0,5.0,1655.0,2640.0,1016.0,
202109,SAARLAND,820.0,819.0,340.0,340.0,8.0,,363.0,862.0,250.0,
202109,SACHSEN,2767.0,2759.0,1127.0,1126.0,56.0,6.0,806.0,2147.0,593.0,
202109,SACHSEN-ANHALT,1319.0,1316.0,512.0,512.0,25.0,4.0,441.0,1151.0,328.0,1.0
202109,SCHLESWIG-HOLSTEIN,2020.0,2018.0,945.0,944.0,20.0,4.0,1276.0,1561.0,645.0,1.0
202109,THÜRINGEN,1421.0,1419.0,578.0,578.0,17.0,2.0,506.0,1064.0,333.0,
202109,SONSTIGE,19.0,19.0,29.0,29.0,,,35.0,27.0,11.0,
202109,DEUTSCHLAND,70667.0,70183.0,31336.0,31271.0,906.0,190.0,33655.0,60159.0,22842.0,59.0
202108,BADEN-WÜRTTEMBERG,8037.0,8000.0,4209.0,4205.0,91.0,18.0,4176.0,8390.0,4066.0,1.0
202108,BAYERN,13223.0,12964.0,7239.0,7212.0,79.0,41.0,5432.0,13681.0,4621.0,1.0
202108,BERLIN,1522.0,1516.0,585.0,585.0,19.0,7.0,763.0,1915.0,684.0,1.0
202108,BRANDENBURG,1487.0,1485.0,671.0,671.0,19.0,9.0,563.0,1177.0,412.0,
202108,BREMEN,339.0,339.0,226.0,226.0,1.0,3.0,149.0,324.0,126.0,
202108,HAMBURG,2620.0,2615.0,2303.0,2303.0,5.0,1.0,580.0,1946.0,698.0,3.0
202108,HESSEN,7581.0,7554.0,3074.0,3073.0,71.0,34.0,2906.0,5298.0,2356.0,5.0
202108,MECKLENBURG-VORPOMMERN,904.0,902.0,405.0,405.0,4.0,3.0,255.0,610.0,198.0,1.0
202108,NIEDERSACHSEN,8247.0,8179.0,3852.0,3841.0,66.0,35.0,3178.0,4632.0,2261.0,7.0
202108,NORDRHEIN-WESTFALEN,13962.0,13919.0,6511.0,6510.0,215.0,27.0,6510.0,13977.0,5811.0,16.0
202108,RHEINLAND-PFALZ,2760.0,2742.0,1253.0,1250.0,51.0,6.0,1363.0,2415.0,1076.0,
202108,SAARLAND,1008.0,1008.0,395.0,395.0,7.0,,297.0,769.0,268.0,4.0
202108,SACHSEN,2452.0,2438.0,1135.0,1135.0,39.0,8.0,718.0,1915.0,608.0,2.0
202108,SACHSEN-ANHALT,1295.0,1294.0,549.0,549.0,14.0,,352.0,1094.0,307.0,
202108,SCHLESWIG-HOLSTEIN,1786.0,1778.0,1147.0,1146.0,17.0,3.0,1193.0,1560.0,648.0,7.0
202108,THÜRINGEN,1358.0,1358.0,590.0,588.0,13.0,4.0,413.0,998.0,349.0,
202108,SONSTIGE,17.0,17.0,27.0,24.0,,,12.0,19.0,8.0,
202108,DEUTSCHLAND,68598.0,68108.0,34171.0,34118.0,711.0,199.0,28860.0,60720.0,24497.0,48.0
202107,BADEN-WÜRTTEMBERG,11183.0,11127.0,6662.0,6656.0,139.0,39.0,4117.0,10687.0,5461.0,1.0
202107,BAYERN,19850.0,19665.0,10094.0,10061.0,127.0,44.0,4987.0,15276.0,5515.0,7.0
202107,BERLIN,2107.0,2100.0,756.0,756.0,9.0,7.0,725.0,1948.0,833.0,
202107,BRANDENBURG,1656.0,1653.0,795.0,794.0,31.0,8.0,451.0,1238.0,468.0,2.0
202107,BREMEN,509.0,508.0,312.0,312.0,6.0,,126.0,516.0,218.0,
202107,HAMBURG,3528.0,3517.0,2071.0,2071.0,10.0,3.0,545.0,1767.0,806.0,1.0
202107,HESSEN,11749.0,11734.0,5023.0,5022.0,89.0,53.0,2727.0,7343.0,2968.0,4.0
202107,MECKLENBURG-VORPOMMERN,1153.0,1152.0,512.0,510.0,11.0,6.0,239.0,559.0,194.0,
202107,NIEDERSACHSEN,10058.0,9962.0,4921.0,4895.0,84.0,41.0,2742.0,5164.0,2640.0,2.0
202107,NORDRHEIN-WESTFALEN,18278.0,18236.0,8756.0,8756.0,273.0,47.0,5286.0,15523.0,6831.0,14.0
202107,RHEINLAND-PFALZ,3364.0,3350.0,1649.0,1648.0,60.0,13.0,1166.0,2830.0,1425.0,1.0
202107,SAARLAND,982.0,980.0,602.0,602.0,8.0,1.0,254.0,816.0,333.0,
202107,SACHSEN,3253.0,3245.0,1582.0,1582.0,56.0,4.0,645.0,2212.0,868.0,3.0
202107,SACHSEN-ANHALT,1505.0,1503.0,648.0,648.0,17.0,11.0,274.0,1169.0,397.0,3.0
202107,SCHLESWIG-HOLSTEIN,2158.0,2153.0,1333.0,1333.0,22.0,4.0,801.0,1619.0,757.0,
202107,THÜRINGEN,1819.0,1815.0,917.0,917.0,33.0,4.0,370.0,1098.0,425.0,
202107,SONSTIGE,24.0,24.0,27.0,27.0,,,9.0,30.0,15.0,
202107,DEUTSCHLAND,93176.0,92724.0,46660.0,46590.0,975.0,285.0,25464.0,69795.0,30154.0,38.0
202106,BADEN-WÜRTTEMBERG,12326.0,12282.0,6823.0,6807.0,77.0,49.0,5382.0,10303.0,5018.0,7.0
202106,BAYERN,22297.0,22185.0,11083.0,11069.0,88.0,71.0,6435.0,17091.0,5870.0,10.0
202106,BERLIN,2560.0,2553.0,1022.0,1022.0,7.0,9.0,839.0,1992.0,872.0,3.0
202106,BRANDENBURG,2271.0,2260.0,1033.0,1033.0,31.0,15.0,686.0,1445.0,582.0,
202106,BREMEN,611.0,610.0,402.0,402.0,3.0,,187.0,525.0,207.0,1.0
202106,HAMBURG,6322.0,6317.0,4686.0,4686.0,7.0,4.0,630.0,2697.0,791.0,
202106,HESSEN,13039.0,13026.0,5397.0,5397.0,48.0,84.0,3120.0,7172.0,3063.0,
202106,MECKLENBURG-VORPOMMERN,1512.0,1511.0,689.0,689.0,10.0,6.0,401.0,801.0,219.0,1.0
202106,NIEDERSACHSEN,11141.0,11039.0,6109.0,6105.0,68.0,58.0,3582.0,5943.0,3142.0,2.0
202106,NORDRHEIN-WESTFALEN,19486.0,19443.0,9825.0,9825.0,164.0,104.0,7130.0,17269.0,7145.0,9.0
202106,RHEINLAND-PFALZ,3927.0,3924.0,1657.0,1657.0,36.0,16.0,1535.0,3250.0,1421.0,1.0
202106,SAARLAND,1528.0,1528.0,450.0,450.0,37.0,4.0,381.0,911.0,329.0,
202106,SACHSEN,4060.0,4057.0,1903.0,1901.0,52.0,17.0,915.0,2522.0,929.0,1.0
202106,SACHSEN-ANHALT,1968.0,1967.0,882.0,880.0,18.0,11.0,418.0,1301.0,416.0,3.0
202106,SCHLESWIG-HOLSTEIN,2747.0,2738.0,1668.0,1668.0,15.0,11.0,1298.0,1872.0,820.0,2.0
202106,THÜRINGEN,2487.0,2482.0,1003.0,1002.0,20.0,8.0,470.0,1436.0,470.0,
202106,SONSTIGE,20.0,20.0,45.0,44.0,1.0,,11.0,34.0,20.0,
202106,DEUTSCHLAND,108302.0,107942.0,54677.0,54637.0,682.0,467.0,33420.0,76564.0,31314.0,40.0
202105,BADEN-WÜRTTEMBERG,10243.0,10200.0,7182.0,7181.0,71.0,45.0,4815.0,8744.0,4428.0,6.0
202105,BAYERN,19700.0,19565.0,10852.0,10828.0,73.0,61.0,5202.0,14681.0,5839.0,4.0
202105,BERLIN,1931.0,1924.0,864.0,864.0,12.0,11.0,535.0,1563.0,755.0,
202105,BRANDENBURG,1823.0,1820.0,927.0,927.0,11.0,8.0,514.0,1270.0,434.0,2.0
202105,BREMEN,391.0,390.0,319.0,319.0,1.0,,128.0,387.0,165.0,
202105,HAMBURG,3560.0,3555.0,3031.0,3030.0,10.0,8.0,553.0,3591.0,629.0,
202105,HESSEN,9827.0,9815.0,5243.0,5243.0,52.0,169.0,2352.0,5697.0,2782.0,2.0
202105,MECKLENBURG-VORPOMMERN,1122.0,1118.0,712.0,711.0,7.0,1.0,216.0,547.0,191.0,
202105,NIEDERSACHSEN,8556.0,8462.0,5861.0,5851.0,90.0,58.0,2849.0,4717.0,2341.0,3.0
202105,NORDRHEIN-WESTFALEN,16243.0,16208.0,9197.0,9196.0,174.0,84.0,5861.0,13987.0,6031.0,16.0
202105,RHEINLAND-PFALZ,3484.0,3472.0,1776.0,1773.0,27.0,11.0,1258.0,2608.0,1178.0,1.0
202105,SAARLAND,929.0,927.0,423.0,423.0,8.0,5.0,258.0,887.0,283.0,
202105,SACHSEN,3361.0,3356.0,1765.0,1765.0,36.0,10.0,611.0,2035.0,724.0,2.0
202105,SACHSEN-ANHALT,1670.0,1668.0,736.0,731.0,16.0,9.0,295.0,925.0,322.0,
202105,SCHLESWIG-HOLSTEIN,2299.0,2294.0,1504.0,1502.0,14.0,33.0,949.0,1598.0,722.0,1.0
202105,THÜRINGEN,1695.0,1693.0,977.0,977.0,16.0,3.0,380.0,1111.0,388.0,
202105,SONSTIGE,21.0,21.0,87.0,87.0,,,10.0,19.0,10.0,
202105,DEUTSCHLAND,86855.0,86488.0,51456.0,51408.0,618.0,516.0,26786.0,64367.0,27222.0,37.0
202104,BADEN-WÜRTTEMBERG,12441.0,12380.0,7789.0,7785.0,72.0,42.0,4340.0,9746.0,4667.0,4.0
202104,BAYERN,19667.0,19515.0,10209.0,10156.0,65.0,39.0,4664.0,14387.0,5565.0,12.0
202104,BERLIN,2033.0,2023.0,944.0,944.0,7.0,21.0,532.0,1828.0,776.0,1.0
202104,BRANDENBURG,2136.0,2132.0,920.0,920.0,16.0,10.0,489.0,1158.0,418.0,1.0
202104,BREMEN,480.0,479.0,340.0,340.0,3.0,,123.0,435.0,186.0,
202104,HAMBURG,1944.0,1939.0,1421.0,1421.0,5.0,3.0,506.0,1800.0,616.0,3.0
202104,HESSEN,10087.0,10065.0,5223.0,5223.0,57.0,113.0,1916.0,6075.0,2576.0,3.0
202104,MECKLENBURG-VORPOMMERN,1154.0,1153.0,800.0,800.0,8.0,1.0,206.0,572.0,187.0,
202104,NIEDERSACHSEN,9458.0,9365.0,5801.0,5794.0,533.0,33.0,2631.0,4345.0,2137.0,6.0
202104,NORDRHEIN-WESTFALEN,17059.0,17026.0,9429.0,9428.0,160.0,71.0,4925.0,14422.0,6152.0,8.0
202104,RHEINLAND-PFALZ,3409.0,3380.0,1808.0,1807.0,32.0,15.0,1161.0,2521.0,1140.0,1.0
202104,SAARLAND,854.0,854.0,383.0,383.0,3.0,3.0,210.0,938.0,293.0,
202104,SACHSEN,3260.0,3252.0,1729.0,1728.0,26.0,13.0,653.0,2085.0,804.0,3.0
202104,SACHSEN-ANHALT,1679.0,1674.0,774.0,774.0,14.0,8.0,306.0,964.0,290.0,1.0
202104,SCHLESWIG-HOLSTEIN,2535.0,2530.0,1457.0,1457.0,10.0,19.0,807.0,1764.0,820.0,3.0
202104,THÜRINGEN,1855.0,1853.0,1093.0,1093.0,17.0,8.0,337.0,1035.0,349.0,
202104,SONSTIGE,21.0,21.0,75.0,75.0,,,10.0,19.0,12.0,
202104,DEUTSCHLAND,90072.0,89641.0,50195.0,50128.0,1028.0,399.0,23816.0,64094.0,26988.0,46.0
202103,BADEN-WÜRTTEMBERG,14886.0,14827.0,9170.0,9162.0,71.0,59.0,5119.0,12287.0,6394.0,13.0
202103,BAYERN,22501.0,22290.0,12633.0,12599.0,64.0,91.0,6027.0,18285.0,7127.0,25.0
202103,BERLIN,2337.0,2326.0,1173.0,1173.0,12.0,18.0,700.0,2061.0,888.0,4.0
202103,BRANDENBURG,2463.0,2461.0,1103.0,1103.0,20.0,9.0,582.0,1347.0,509.0,
202103,BREMEN,569.0,569.0,484.0,484.0,3.0,,176.0,559.0,263.0,
202103,HAMBURG,5115.0,5112.0,2842.0,2842.0,10.0,10.0,563.0,1925.0,945.0,3.0
202103,HESSEN,11707.0,11692.0,7205.0,7205.0,45.0,95.0,2441.0,7553.0,3169.0,9.0
202103,MECKLENBURG-VORPOMMERN,1692.0,1692.0,774.0,774.0,10.0,5.0,240.0,828.0,276.0,2.0
