DATE,MARKE,ANZAHL,CO2-EMISSION IN G/KM,EURO 6,ELEKTRO (BEV),HYBRID,DARUNTER PLUG-IN
202405,BYD,201.0,0.8,1,200,1,1
202405,CADILLAC,13.0,230.8,4,,,
202405,CITROEN,4359.0,155.7,4292,64,211,13
202405,DACIA,5135.0,123,4921,214,242,
202405,DS,188.0,123.4,188,,33,33
202405,FERRARI,179.0,239.7,179,,97,97
202405,FIAT,5376.0,177,4809,556,1193,
202405,FISKER,12.0,"0,0",,12,,
202405,FORD,7791.0,141.8,7492,289,3325,642
202405,GWM,268.0,5.4,100,168,100,100
202405,HONDA,465.0,87,343,121,338,15
202405,HYUNDAI,8129.0,117.1,6954,1175,3970,283
202405,INEOS,31.0,309.9,31,,,
202405,IVECO,105.0,,105,,,
202405,JAGUAR,165.0,185,155,10,78,16
202405,JEEP,1020.0,124.4,912,89,699,56
202405,KIA,5791.0,106.4,4735,1055,1929,397
202405,LADA,6.0,243,6,,,
202405,LAMBORGHINI,88.0,320.1,,,17,6
202405,LAND ROVER,888.0,197.2,888,,819,215
202405,LEXUS,375.0,108,364,11,353,65
202405,LOTUS,29.0,119.5,15,14,,
202405,LUCID,13.0,"0,0",,13,,
202405,LYNK & CO,1.0,24,1,,1,1
202405,MAN,144.0,285.3,132,,,
202405,MASERATI,47.0,248.9,46,1,13,
202405,MAXUS,13.0,"0,0",,13,,
202405,MAZDA,3501.0,130,3458,43,2634,248
202405,MERCEDES,19832.0,124.3,17242,2441,12314,3484
202405,MG ROEWE,2699.0,20.5,346,2353,23,
202405,MINI,1943.0,116.2,1601,341,242,
202405,MITSUBISHI,1652.0,107.6,1652,,373,215
202405,MORGAN,6.0,171.5,6,,,
202405,NIO,35.0,"0,0",,35,,
202405,NISSAN,1914.0,132.2,1793,121,1214,
202405,OPEL,13455.0,124.7,13016,438,583,467
202405,PEUGEOT,6016.0,129.6,5833,182,873,238
202405,POLESTAR,414.0,"0,0",,414,,
202405,PORSCHE,2974.0,180.1,2607,365,603,580
202405,RENAULT,4512.0,117,3985,526,1823,1
202405,ROLLS ROYCE,42.0,319.5,36,6,,
202405,SEAT,16036.0,126.1,14615,1420,2321,1311
202405,SKODA,17486.0,120.4,15566,1920,969,30
202405,SMART,1509.0,"0,0",,1509,,
202405,SSANGYONG,198.0,137.2,145,53,,
202405,SUBARU,321.0,177.9,307,14,177,
202405,SUZUKI,1489.0,117.3,1489,,1487,26
202405,TESLA,1896.0,"0,0",,1896,,
202405,TOYOTA,6509.0,110.6,6429,69,4597,76
202405,VINFAST,8.0,"0,0",,8,,
202405,VOLVO,5098.0,68.9,3728,1370,3716,1898
202405,VW,47636.0,130.2,42236,5174,4843,247
202405,XPENG,12.0,"0,0",,12,,
202405,SONSTIGE,876.0,181.5,246,93,71,33
202406,AIWAYS,16.0,"0,0",,16,,
202406,ALFA ROMEO,932.0,168.5,932,,233,32
202406,ALPINE,69.0,156.1,69,,,
202406,ASTON MARTIN,35.0,298.2,35,,,
202406,AUDI,20398.0,141.1,18084,2165,10655,1441
202406,BENTLEY,131.0,283.5,131,,6,6
202406,BMW,20947.0,124.8,17474,3444,10554,1788
202406,BYD,425.0,13.5,35,389,36,36
202406,CADILLAC,20.0,192.8,14,,,
202406,CITROEN,5921.0,144.9,5727,189,242,24
202406,DACIA,8805.0,126.6,8722,83,1339,
202406,DS,458.0,126,455,3,64,64
202406,FERRARI,190.0,257.8,190,,88,88
202406,FIAT,8544.0,133.9,7398,1139,3741,
202406,FISKER,7.0,"0,0",,7,,
202406,FORD,9463.0,137.5,9188,272,4686,1104
202406,GWM,297.0,3,70,227,70,70
202406,HONDA,636.0,99.4,507,129,475,7
202406,HYUNDAI,9501.0,106.3,7680,1814,3725,362
202406,INEOS,36.0,311.1,36,,,
202406,IVECO,125.0,217.3,125,,,
202406,JAGUAR,211.0,185.6,203,8,116,22
202406,JEEP,1194.0,130.4,1070,104,686,70
202406,KIA,6369.0,105.9,5241,1128,2171,420
202406,LADA,1.0,260,,,,
202406,LAMBORGHINI,132.0,322.1,,,20,3
202406,LAND ROVER,1311.0,190.7,1310,,1218,307
202406,LEXUS,435.0,114.7,422,13,411,56
202406,LOTUS,35.0,58.25,10,24,,
202406,LUCID,15.0,"0,0",,15,,
202406,LYNK & CO,12.0,24,12,,12,12
202406,MAN,143.0,276,133,,,
202406,MASERATI,54.0,225,52,2,24,
202406,MAXUS,10.0,"0,0",,10,,
202406,MAZDA,4655.0,132.3,4610,45,3483,292
202406,MERCEDES,21359.0,129.9,19046,2149,12765,3462
202406,MG ROEWE,5158.0,14.3,489,4669,104,1
202406,MINI,2335.0,98.2,1643,692,297,
202406,MITSUBISHI,2891.0,111.8,2891,,575,282
202406,MORGAN,8.0,158,8,,,
202406,NIO,44.0,"0,0",,44,,
202406,NISSAN,2552.0,131.5,2379,171,1761,
202406,OPEL,17107.0,122,16217,889,997,414
202406,PEUGEOT,6355.0,121.7,5893,460,1210,269
202406,POLESTAR,334.0,,1,333,1,1
202406,PORSCHE,2623.0,160,2272,348,800,766
202406,RENAULT,8281.0,118,7483,797,3107,21
202406,ROLLS ROYCE,22.0,211.3,12,9,,
202406,SEAT,19105.0,126,17384,1721,3204,1492
202406,SKODA,22419.0,122.1,20101,2318,1858,21
202406,SMART,1626.0,"0,0",,1626,,
202406,SSANGYONG,185.0,157.7,156,29,,
202406,SUBARU,332.0,184.4,328,4,186,
202406,SUZUKI,2217.0,117.1,2217,,2214,25
202406,TESLA,4648.0,"0,0",,4648,,
202406,TOYOTA,8798.0,110.2,8702,84,6134,203
202406,VINFAST,2.0,"0,0",,2,,
202406,VOLVO,5633.0,69.7,3953,1680,3931,1893
202406,VW,60754.0,121.4,51214,9398,4715,327
202406,XPENG,19.0,"0,0",,19,,
202406,SONSTIGE,989.0,183.7,314,96,56,10
202407,AIWAYS,4.0,"0,0",,4,,
202407,ALFA ROMEO,453.0,171.7,453,,105,29
202407,ALPINE,21.0,155.6,21,,,
202407,ASTON MARTIN,39.0,296,39,,,
202407,AUDI,19436.0,137.5,16999,2252,9551,1168
202407,BENTLEY,41.0,282.825,41,,3,1
202407,BMW,21179.0,114.9,16794,4313,10930,2077
202407,BYD,230.0,0.9,9,221,9,9
202407,CADILLAC,37.0,215,27,,,
202407,CITROEN,4207.0,154.9,4153,53,321,16
202407,DACIA,6063.0,124.3,6051,12,1795,
202407,DAF TRUCKS,1.0,,1,,,
202407,DS,301.0,130.4,300,1,34,34
202407,FERRARI,198.0,256.1,198,,99,99
202407,FIAT,5841.0,138.1,4506,1329,1358,
202407,FISKER,1.0,"0,0",,1,,
202407,FORD,8917.0,133,8575,333,4414,1212
202407,GWM,270.0,4.3,93,177,93,93
202407,HONDA,735.0,115.3,689,46,662,23
202407,HYUNDAI,9053.0,101.8,7147,1906,3254,504
202407,INEOS,43.0,307,43,,,
202407,IVECO,100.0,,100,,,
202407,JAGUAR,137.0,162.8,124,13,83,17
202407,JEEP,832.0,126.8,798,26,586,46
202407,KIA,6453.0,103.4,5196,1255,2221,396
202407,LADA,5.0,243,5,,,
202407,LAMBORGHINI,146.0,320.2,1,,24,13
202407,LAND ROVER,1090.0,179.6,1090,,1013,248
202407,LEXUS,428.0,107.6,413,15,403,68
202407,LOTUS,41.0,104.5,20,21,,
202407,LUCID,8.0,"0,0",,8,,
202407,LYNK & CO,6.0,24,6,,6,6
202407,MAN,154.0,278.2,146,,,
202407,MASERATI,47.0,238.6,46,1,20,
202407,MAXUS,3.0,"0,0",,3,,
202407,MAZDA,3088.0,133.1,3054,34,2330,156
202407,MERCEDES,23015.0,123.1,20089,2767,14726,3781
202407,MG ROEWE,1831.0,23.6,305,1526,102,
202407,MINI,2544.0,90.5,1653,891,254,
202407,MITSUBISHI,1643.0,104.5,1643,,473,275
202407,MORGAN,7.0,164.1,7,,,
202407,NIO,32.0,"0,0",,32,,
202407,NISSAN,2230.0,133.6,2162,66,1748,
202407,OPEL,12381.0,125,11929,452,458,178
202407,PEUGEOT,5323.0,125,5159,162,1397,155
202407,POLESTAR,422.0,"0,0",,422,,
202407,PORSCHE,2071.0,147.3,1707,360,664,619
202407,RENAULT,3438.0,123.5,3251,186,1912,2
202407,ROLLS ROYCE,26.0,255.9,9,4,,
202407,SEAT,12477.0,119.5,10793,1684,1776,476
202407,SKODA,18898.0,122.3,17180,1718,1180,182
202407,SMART,471.0,"0,0",,471,,
202407,SSANGYONG,139.0,155.8,115,24,,
202407,SUBARU,380.0,184.9,377,3,220,
202407,SUZUKI,2199.0,114,2198,,2194,15
202407,TESLA,2470.0,"0,0",,2470,,
202407,TOYOTA,8479.0,108.9,8351,116,6143,218
202407,VINFAST,4.0,"0,0",,4,,
202407,VOLVO,5578.0,68.7,3975,1603,3969,2057
202407,VW,41388.0,131.9,37679,3578,3209,587
202407,XPENG,16.0,"0,0",,16,,
202407,SONSTIGE,1193.0,161.8,318,183,131,51
202408,ALFA ROMEO,365.0,144.4,304,61,89,8
202408,ALPINE,18.0,155.4,18,,,
202408,ASTON MARTIN,12.0,323,12,,,
202408,AUDI,13550.0,141.3,12077,1388,7184,681
202408,BENTLEY,9.0,300.9,9,,,
202408,BMW,16140.0,117.1,12775,3334,8250,1408
202408,BYD,218.0,2.8,18,200,17,17
202408,CADILLAC,6.0,213,1,,,
202408,CITROEN,2981.0,154.6,2935,45,332,55
202408,DACIA,4502.0,123.6,4501,1,1205,
202408,DS,192.0,127.296875,192,,31,31
202408,FERRARI,140.0,268.3,139,,61,61
202408,FIAT,4057.0,128.1,2781,1274,585,
202408,FISKER,2.0,"0,0",,2,,
202408,FORD,8418.0,124.7,7667,748,4088,1046
202408,GWM,249.0,4.7,74,175,74,74
202408,HONDA,595.0,118.1,586,9,575,33
202408,HYUNDAI,7954.0,104.4,6484,1465,2931,352
202408,INEOS,42.0,306.1,42,,,
202408,IVECO,71.0,"0,0",70,1,,
202408,JAGUAR,99.0,173.1,97,2,70,15
202408,JEEP,708.0,126.6,666,30,509,28
202408,KIA,5450.0,101.1,4350,1100,1674,317
202408,LADA,7.0,243,7,,,
202408,LAMBORGHINI,86.0,323.6,,,11,10
202408,LAND ROVER,771.0,174.6,771,,718,163
202408,LEXUS,510.0,110.6,494,16,483,77
202408,LOTUS,37.0,111.5,20,17,,
202408,LUCID,13.0,"0,0",,13,,
202408,LYNK & CO,2.0,24,2,,2,2
202408,MAN,105.0,277,92,,,
202408,MASERATI,31.0,217.2,27,4,7,
202408,MAXUS,3.0,"0,0",2,1,,
202408,MAZDA,2684.0,133.3,2664,20,2154,98
202408,MERCEDES,19437.0,118.9,16930,2425,13121,3475
202408,MG ROEWE,594.0,73.2,320,274,144,
202408,MINI,2619.0,80,1498,1120,266,
202408,MITSUBISHI,1867.0,100.1,1867,,695,412
202408,MORGAN,12.0,166.3,12,,,
202408,NIO,35.0,"0,0",,35,,
202408,NISSAN,1989.0,134.2,1928,61,1353,
202408,OPEL,12142.0,117.2,11270,871,1024,284
202408,PEUGEOT,4875.0,122.8,4679,196,1505,90
202408,POLESTAR,188.0,"0,0",,188,,
202408,PORSCHE,1895.0,115.8,1381,509,653,650
202408,RENAULT,3672.0,119,3423,246,2181,1
202408,ROLLS ROYCE,17.0,215.1,7,5,,
202408,SEAT,10597.0,111.5,8951,1646,1838,666
202408,SKODA,14451.0,114.4,12602,1849,1259,313
202408,SMART,650.0,"0,0",,650,,
202408,SSANGYONG,74.0,150.8,59,15,,
202408,SUBARU,364.0,170,334,30,205,
202408,SUZUKI,2232.0,117.3,2229,2,2209,16
202408,TESLA,2370.0,"0,0",,2370,,
202408,TOYOTA,6800.0,108.2,6678,106,4916,157
202408,VINFAST,23.0,"0,0",,23,,
202408,VOLVO,3934.0,64.7,2925,1009,2918,1601
202408,VW,35359.0,128.9,31956,3335,3896,1399
202408,XPENG,33.0,"0,0",,33,,
202408,SONSTIGE,1066.0,194.375,432,120,111,25
202409,ALFA ROMEO,324.0,155.2,294,30,86,13
202409,ALPINE,14.0,155.7,14,,,
202409,ASTON MARTIN,6.0,323,6,,,
202409,AUDI,14938.0,136.4,13015,1792,8101,837
202409,BENTLEY,5.0,251,5,,1,1
202409,BMW,17851.0,113.4,14217,3619,9559,2081
202409,BYD,140.0,0.5,3,137,3,3
202409,CADILLAC,11.0,343.5,,,,
202409,CITROEN,2837.0,151.9,2700,136,266,69
202409,DACIA,4088.0,123.9,4085,3,997,
202409,DS,164.0,128.7,164,,25,23
202409,FERRARI,87.0,288.7,87,,32,32
202409,FIAT,3757.0,131.8,2955,799,1237,
202409,FORD,8473.0,126.8,7764,706,4172,868
202409,GWM,259.0,4.5,89,170,89,89
202409,HONDA,652.0,119.4,646,5,636,36
202409,HYUNDAI,6433.0,96,4879,1552,2094,306
202409,INEOS,23.0,301.5,23,,,
202409,IVECO,44.0,,44,,,
202409,JAGUAR,88.0,177.1,84,4,48,9
202409,JEEP,909.0,119.1,835,56,604,57
202409,KIA,5326.0,102.3,4303,1022,1710,320
202409,LAMBORGHINI,73.0,325,1,,8,7
202409,LAND ROVER,750.0,172,749,,729,164
202409,LEXUS,524.0,111,496,28,480,65
202409,LOTUS,26.0,71.4,10,16,,
202409,LUCID,41.0,"0,0",,41,,
202409,LYNK & CO,3.0,24,3,,3,3
202409,MAN,86.0,278.6,84,,,
202409,MASERATI,46.0,238.6,45,1,17,
202409,MAXUS,3.0,"0,0",,3,,
202409,MAZDA,3844.0,135.3,3812,32,3102,162
202409,MERCEDES,18385.0,113.4,15621,2715,12376,3385
202409,MG ROEWE,707.0,46,273,434,183,10
202409,MINI,4079.0,82.9,2399,1663,473,
202409,MITSUBISHI,1697.0,106.1,1697,,549,265
202409,MORGAN,2.0,158.5,2,,,
202409,NIO,22.0,"0,0",,22,,
202409,NISSAN,2278.0,129.5,2137,137,1579,
202409,OPEL,11185.0,123.8,10772,413,693,181
202409,PEUGEOT,5511.0,119.7,5156,355,1515,85
202409,POLESTAR,298.0,"0,0",,298,,
202409,PORSCHE,2146.0,94.7,1225,918,559,509
202409,RENAULT,3878.0,118.6,3634,243,2185,
202409,ROLLS ROYCE,22.0,318.4,19,3,,
202409,SEAT,10852.0,111.4,8981,1871,2177,522
202409,SKODA,17212.0,103.6,13805,3406,1665,632
202409,SMART,599.0,"0,0",,599,,
202409,SSANGYONG,96.0,134.1,69,27,,
202409,SUBARU,357.0,180.8,348,9,205,
202409,SUZUKI,2582.0,117,2581,,2579,25
202409,TESLA,3758.0,"0,0",,3758,,
202409,TOYOTA,7200.0,106.5,7035,126,5208,191
202409,VINFAST,19.0,"0,0",,19,,
202409,VOLVO,4416.0,64.9,3678,738,3668,2280
202409,VW,38914.0,118.5,32397,6464,5725,1677
202409,XPENG,33.0,"0,0",,33,,
202409,SONSTIGE,775.0,160.7,205,76,95,29
202410,ALFA ROMEO,316.0,153.7,303,13,122,21
202410,ALPINE,24.0,155.2,24,,,
202410,ASTON MARTIN,9.0,330.8,9,,,
202410,AUDI,16522.0,138.5,14530,1793,8621,963
202410,BENTLEY,7.0,270.3,7,,2,2
202410,BMW,18955.0,110.7,15317,3589,10896,2504
202410,BYD,347.0,0.3,4,343,4,4
202410,CADILLAC,8.0,470,,,,
202410,CITROEN,3986.0,145.1,3851,134,374,71
202410,DACIA,5583.0,117.2,5294,289,1925,
202410,DS,340.0,132.6,339,1,38,35
202410,FERRARI,127.0,255.3,127,,62,62
202410,FIAT,3568.0,148,3050,514,1213,
202410,FORD,7845.0,129.4,7166,677,3595,741
202410,GWM,215.0,5.5,77,138,77,77
202410,HONDA,627.0,119.9,622,5,613,28
202410,HYUNDAI,7163.0,100.6,5734,1429,2718,379
202410,INEOS,38.0,301.3,38,,,
202410,IVECO,62.0,400,61,,,
202410,JAGUAR,124.0,176.5,121,3,77,20
202410,JEEP,1003.0,122.8,951,48,519,44
202410,KIA,5367.0,104.9,4409,958,1628,271
202410,LAMBORGHINI,58.0,318.9,,,10,10
202410,LAND ROVER,870.0,162,869,,843,240
202410,LEXUS,592.0,101.6,566,26,558,117
202410,LOTUS,29.0,48.1,8,21,,
202410,LUCID,129.0,"0,0",,129,,
202410,LYNK & CO,16.0,6.75,5,11,5,2
202410,MAN,58.0,266.3,56,,,
202410,MASERATI,41.0,234.325,39,2,14,
202410,MAXUS,5.0,"0,0",,5,,
202410,MAZDA,3813.0,117.1,3793,20,3484,836
202410,MERCEDES,23226.0,112.9,19154,4023,14609,3919
202410,MG ROEWE,1432.0,64.9,733,699,442,
202410,MINI,2696.0,80.4,1538,1148,283,
202410,MITSUBISHI,1989.0,105,1989,,573,313
202410,NIO,15.0,"0,0",,15,,
202410,NISSAN,2193.0,128,2046,147,1478,
202410,OPEL,13240.0,119.9,12321,919,532,168
202410,PEUGEOT,7244.0,117.4,6836,407,2591,117
202410,POLESTAR,152.0,"0,0",,152,,
202410,PORSCHE,2862.0,94.375,1532,1329,568,539
202410,RENAULT,5414.0,116.3,4814,600,2797,29
202410,ROLLS ROYCE,48.0,295.375,39,9,,
202410,SEAT,11767.0,104.1,9540,2226,2908,1284
202410,SKODA,17986.0,105.9,14674,3312,1664,773
202410,SMART,854.0,"0,0",,854,,
202410,SSANGYONG,136.0,170.3,121,15,,
202410,SUBARU,386.0,178.5,373,13,237,
202410,SUZUKI,1792.0,111,1792,,1790,29
202410,TATRA,1.0,,1,,,
202410,TESLA,1614.0,"0,0",,1614,,
202410,TOYOTA,9139.0,112.3,8953,170,6582,271
202410,VINFAST,20.0,"0,0",,20,,
202410,VOLVO,5087.0,56,4317,770,4315,3039
202410,VW,43942.0,120,37224,6644,6178,2404
202410,XPENG,100.0,"0,0",,100,,
202410,SONSTIGE,810.0,128.7,205,157,64,25
202411,ALFA ROMEO,481.0,153.3,463,18,241,11
202411,ALPINE,23.0,148.7,22,1,,
202411,ASTON MARTIN,2.0,323,2,,,
202411,AUDI,17445.0,142.7,15569,1698,9341,980
202411,BENTLEY,69.0,98.2,69,,54,51
202411,BMW,22464.0,108.4,17834,4596,12996,3077
202411,BYD,431.0,1.4,25,406,25,25
202411,CADILLAC,10.0,,,,,
202411,CITROEN,3883.0,145,3792,89,858,33
202411,DACIA,5730.0,118,5441,288,1698,
202411,DS,548.0,135.1875,546,2,78,30
202411,FERRARI,95.0,274.8,95,,38,38
202411,FIAT,3064.0,149.6,2809,253,1382,
202411,FORD,7927.0,126.8,7230,689,3639,948
202411,GWM,195.0,4,60,135,60,60
202411,HONDA,327.0,117.80625,322,5,321,10
202411,HYUNDAI,7885.0,115.4,6997,888,3541,403
202411,INEOS,34.0,304.8,34,,,
202411,IVECO,57.0,219,57,,,
202411,JAGUAR,247.0,187.3,241,6,143,18
202411,JEEP,1105.0,129.6,1056,41,503,37
202411,KIA,5103.0,103.9,4171,932,1450,200
202411,LAMBORGHINI,55.0,320.7,,,7,7
202411,LAND ROVER,1017.0,178.3,1017,,976,195
202411,LEAPMOTOR,114.0,"0,0",,114,,
202411,LEXUS,559.0,110.7,539,20,524,97
202411,LOTUS,38.0,59.5,11,27,,
202411,LUCID,116.0,"0,0",,116,,
202411,LYNK & CO,1.0,24,1,,1,1
202411,MAN,124.0,260.6,120,2,,
202411,MASERATI,23.0,237,23,,9,
202411,MAXUS,2.0,"0,0",,2,,
202411,MAZDA,3462.0,122.3,3440,22,3112,595
202411,MERCEDES,25869.0,116.3,21927,3907,16759,4228
202411,MG ROEWE,957.0,76.3,633,324,492,4
202411,MINI,3049.0,84.1,1801,1234,406,
202411,MITSUBISHI,2099.0,89.7,2099,,1049,792
202411,MORGAN,3.0,142,3,,,
202411,NIO,29.0,"0,0",,29,,
202411,NISSAN,2092.0,128.8,1944,146,1444,
202411,OPEL,11625.0,125.1,11246,379,633,100
202411,PEUGEOT,7114.0,119.4,6789,323,2527,71
202411,POLESTAR,208.0,"0,0",,208,,
202411,PORSCHE,2722.0,105.2,1530,1188,759,465
202411,RENAULT,5520.0,110.7,4872,645,3231,101
202411,ROLLS ROYCE,35.0,309.2,23,4,,
202411,SEAT,11747.0,102,9541,2206,3016,1628
202411,SKODA,18448.0,106.4,15336,3112,1900,954
202411,SMART,768.0,"0,0",,768,,
202411,SSANGYONG,140.0,144,109,31,,
202411,SUBARU,599.0,183.8,595,4,485,
202411,SUZUKI,2103.0,110.3,2103,,2101,44
202411,TESLA,2208.0,"0,0",,2208,,
202411,TOYOTA,10262.0,113.6,10179,75,7081,119
202411,VINFAST,37.0,"0,0",,37,,
202411,VOLVO,5500.0,65.5,4767,733,4765,3009
202411,VW,47610.0,120.4,40687,6842,6778,2243
202411,XPENG,81.0,"0,0",,81,,
202411,SONSTIGE,1083.0,96.1,311,333,131,30
202412,ALFA ROMEO,451.0,152.9,443,8,216,18
202412,ALPINE,45.0,141.1,41,4,,
202412,ASTON MARTIN,4.0,323,4,,,
202412,AUDI,16262.0,153.4,14801,1338,8679,775
202412,BENTLEY,39.0,98.7,39,,33,31
202412,BMW,21607.0,111.8,17291,4303,12781,2601
202412,BYD,323.0,1.1,14,309,14,14
202412,CADILLAC,9.0,,,,,
202412,CITROEN,3724.0,143.5,3650,73,686,16
202412,DACIA,7255.0,113.8,6675,580,1621,
202412,DS,453.0,135.5,451,1,30,22
202412,FERRARI,58.0,305.5,57,,15,15
202412,FIAT,2009.0,143.5,1729,276,749,
202412,FISKER,2.0,"0,0",,2,,
202412,FORD,6761.0,121.5,5916,841,2907,853
202412,GWM,439.0,1,34,405,34,34
202412,HONDA,537.0,122,534,3,534,1
202412,HYUNDAI,8261.0,105.5,6915,1341,3579,549
202412,INEOS,21.0,302.5,21,,,
202412,IVECO,71.0,,71,,,
202412,JAGUAR,35.0,179.7,35,,31,5
202412,JEEP,1057.0,129.1,1025,21,600,29
202412,KIA,5045.0,114.2,4420,625,1967,177
202412,LADA,1.0,,,,,
202412,LAMBORGHINI,22.0,306.5,,,6,5
202412,LAND ROVER,986.0,184.7,986,,956,163
202412,LEAPMOTOR,64.0,"0,0",,64,,
202412,LEXUS,890.0,133.2,883,7,805,81
202412,LOTUS,41.0,50.7,10,31,,
202412,LUCID,20.0,"0,0",,20,,
202412,MAN,104.0,266.5,101,,,
202412,MASERATI,53.0,250.3,53,,18,
202412,MAXUS,10.0,26.8,2,8,,
202412,MAZDA,4411.0,129.3,4388,22,3836,514
202412,MERCEDES,21109.0,122.2,18419,2660,13784,3208
202412,MG ROEWE,1854.0,113.7,1764,90,1146,143
202412,MINI,2621.0,82.8,1515,1105,300,
202412,MITSUBISHI,2636.0,74.4,2636,,1828,1634
202412,MORGAN,2.0,175,2,,,
202412,NIO,31.0,"0,0",,31,,
202412,NISSAN,2292.0,127.8,2121,169,1514,
202412,OPEL,10025.0,126.9,9788,237,797,88
202412,PEUGEOT,4722.0,119,4593,129,2103,67
202412,POLESTAR,328.0,"0,0",,328,,
202412,PORSCHE,2516.0,83.3,1315,1201,695,563
202412,RENAULT,5936.0,109.7,5168,766,3182,155
202412,ROLLS ROYCE,29.0,207,13,10,,
202412,SEAT,11468.0,101.6,9109,2359,3245,1389
202412,SKODA,14350.0,107.7,12067,2282,1923,787
202412,SMART,572.0,"0,0",,572,,
202412,SSANGYONG,494.0,170.2,452,42,,
202412,SUBARU,187.0,169.5,171,16,91,
202412,SUZUKI,2170.0,109.4,2167,,2166,73
202412,TESLA,3905.0,"0,0",,3905,,
202412,TOYOTA,8815.0,121.2,8734,71,5344,91
202412,VINFAST,40.0,"0,0",,40,,
202412,VOLVO,6048.0,70.3,5275,773,5273,3312
202412,VW,40457.0,121.9,34356,6032,6051,1669
202412,XPENG,99.0,"0,0",,99,,
202412,SONSTIGE,945.0,73.5,200,362,134,21
202501,ALFA ROMEO,572.0,139.3,557,15,353,8
202501,ALPINE,79.0,63.8,33,46,,
202501,AUDI,14645.0,138.7,12611,1922,7406,889
202501,BENTLEY,61.0,125.2,61,,42,41
202501,BMW,16228.0,113.3,13420,2795,10192,2200
202501,BYD,235.0,3.2,31,204,31,31
202501,CADILLAC,14.0,213,2,,,
202501,CITROEN,3359.0,140.3,3190,168,900,31
202501,DACIA,5728.0,104.8,4860,868,1353,
202501,DS,257.0,125.36328125,256,1,88,25
202501,FERRARI,131.0,265.7,131,,61,61
202501,FIAT,2399.0,161.6,2168,229,762,
202501,FISKER,1.0,"0,0",,1,,
202501,FORD,7668.0,140.3,7255,409,3443,919
202501,GWM,330.0,46.9,260,70,260,260
202501,HONDA,428.0,123.1,428,,426,4
202501,HYUNDAI,6163.0,93.7,4716,1444,2112,430
202501,INEOS,21.0,301.2,21,,,
202501,IVECO,55.0,"0,0",53,1,,
202501,JAGUAR,77.0,175.4,77,,76,9
202501,JEEP,997.0,127.8,938,43,606,34
202501,KIA,4960.0,103.8,3995,965,1449,194
202501,LAMBORGHINI,92.0,316.5,4,,11,10
202501,LAND ROVER,1222.0,175.5,1222,,1172,253
202501,LEAPMOTOR,155.0,"0,0",,155,,
202501,LEXUS,348.0,91.4,342,6,338,106
202501,LOTUS,42.0,84.2,17,25,,
202501,LUCID,19.0,"0,0",,19,,
202501,LYNK & CO,4.0,24,4,,4,4
202501,MAN,107.0,266.2,105,,,
202501,MASERATI,46.0,234.4,44,2,15,
202501,MAXUS,7.0,"0,0",,7,,
202501,MAZDA,2290.0,129,2284,6,2079,218
202501,MERCEDES,19727.0,128.2,17485,2211,12474,3055
202501,MG ROEWE,1645.0,27,427,1218,368,50
202501,MINI,2239.0,90,1409,830,276,
202501,MITSUBISHI,1925.0,111.5,1924,,506,104
202501,MORGAN,4.0,164,4,,,
202501,NIO,18.0,"0,0",,18,,
202501,NISSAN,2218.0,127.7,2044,173,1544,
202501,OPEL,6930.0,113.3,6155,775,715,82
202501,PEUGEOT,4958.0,114.8,4697,260,2374,85
202501,POLESTAR,235.0,"0,0",,235,,
202501,PORSCHE,2386.0,138,1604,780,734,382
202501,RENAULT,4067.0,109.9,3530,536,2100,42
202501,ROLLS ROYCE,26.0,249.68,17,8,,
202501,SEAT,13846.0,99.8,11128,2718,4254,1958
202501,SKODA,16526.0,100.3,13190,3336,2339,1073
202501,SMART,490.0,"0,0",,490,,
202501,SSANGYONG,340.0,155.6,286,54,,
202501,SUBARU,281.0,182.7,277,4,164,
202501,SUZUKI,1372.0,108.8,1369,,1368,43
202501,TESLA,1277.0,"0,0",,1277,,
202501,TOYOTA,5430.0,99.9,4812,614,3102,284
202501,VINFAST,28.0,"0,0",,28,,
202501,VOLVO,5385.0,74.9,4500,885,4498,2526
202501,VW,46381.0,116.1,37985,8256,6809,2252
202501,XPENG,94.0,"0,0",,94,,
202501,SONSTIGE,1072.0,102.2,217,297,160,49
202502,ALFA ROMEO,649.0,132.9,628,21,433,3
202502,ALPINE,18.0,104.2,12,6,,
202502,ASTON MARTIN,2.0,323,2,,,
202502,AUDI,15891.0,125.3,12484,3313,6817,894
202502,BENTLEY,57.0,108.4,57,,41,40
202502,BMW,17079.0,104,13493,3550,9963,2444
202502,BYD,185.0,3.4,25,160,25,25
202502,CADILLAC,8.0,,,,,
202502,CITROEN,3866.0,144.7,3624,242,818,2
202502,DACIA,4821.0,115.1,4502,319,1450,
202502,DS,537.0,138.9,537,,46,16
202502,FERRARI,140.0,250.8,140,,69,69
202502,FIAT,2811.0,188.4,2656,151,714,
202502,FORD,9398.0,135.1,8577,818,4163,1042
202502,GWM,110.0,5.2,43,67,43,43
202502,HONDA,551.0,119.8,550,1,543,25
202502,HYUNDAI,6247.0,91.6,4665,1577,1939,416
202502,INEOS,25.0,302,25,,,
202502,IVECO,84.0,,84,,,
202502,JAGUAR,35.0,184.3,35,,30,4
202502,JEEP,1114.0,138.1,1062,36,689,31
202502,KIA,4296.0,95.1,3245,1051,1042,199
202502,LAMBORGHINI,115.0,286.2,19,,25,25
202502,LANCIA,1.0,"0,0",,1,,
